date_time,total_http,SELECT_http,INSERT_http,UPDATE_http,DELETE_http,total_http_out_rs,SELECT_http_out_rs,INSERT_http_out_rs,UPDATE_http_out_rs,DELETE_http_out_rs
1523130470.000000,0.071261,0.071261,0.000000,0.000000,0.000000,0.046000,0.046000,0.000000,0.000000,0.000000
1523130470.050000,0.052575,0.052575,0.000000,0.000000,0.000000,0.041049,0.041049,0.000000,0.000000,0.000000
1523130470.100000,0.055750,0.055750,0.000000,0.000000,0.000000,0.061907,0.061907,0.000000,0.000000,0.000000
1523130470.150000,0.026398,0.026398,0.000000,0.000000,0.000000,0.057648,0.057648,0.000000,0.000000,0.000000
1523130470.200000,0.052488,0.052488,0.000000,0.000000,0.000000,0.055119,0.055119,0.000000,0.000000,0.000000
1523130470.250000,0.067215,0.067215,0.000000,0.000000,0.000000,0.065316,0.065316,0.000000,0.000000,0.000000
1523130470.300000,0.066475,0.066475,0.000000,0.000000,0.000000,0.066098,0.066098,0.000000,0.000000,0.000000
1523130470.350000,0.062522,0.062522,0.000000,0.000000,0.000000,0.078239,0.078239,0.000000,0.000000,0.000000
1523130470.400000,0.047820,0.047820,0.000000,0.000000,0.000000,0.042663,0.042663,0.000000,0.000000,0.000000
1523130470.450000,0.057587,0.057587,0.000000,0.000000,0.000000,0.058959,0.058959,0.000000,0.000000,0.000000
1523130470.500000,0.086864,0.086864,0.000000,0.000000,0.000000,0.056261,0.056261,0.000000,0.000000,0.000000
1523130470.550000,0.053353,0.053353,0.000000,0.000000,0.000000,0.052313,0.052313,0.000000,0.000000,0.000000
1523130470.600000,0.054812,0.054812,0.000000,0.000000,0.000000,0.067000,0.067000,0.000000,0.000000,0.000000
1523130470.650000,0.063237,0.063237,0.000000,0.000000,0.000000,0.047747,0.047747,0.000000,0.000000,0.000000
1523130470.700000,0.079200,0.079200,0.000000,0.000000,0.000000,0.053671,0.053671,0.000000,0.000000,0.000000
1523130470.750000,0.048478,0.048478,0.000000,0.000000,0.000000,0.057754,0.057754,0.000000,0.000000,0.000000
1523130470.800000,0.055307,0.055307,0.000000,0.000000,0.000000,0.050966,0.050966,0.000000,0.000000,0.000000
1523130470.850000,0.066154,0.066154,0.000000,0.000000,0.000000,0.065115,0.065115,0.000000,0.000000,0.000000
1523130470.900000,0.062722,0.062722,0.000000,0.000000,0.000000,0.047110,0.047110,0.000000,0.000000,0.000000
1523130470.950000,0.063836,0.063836,0.000000,0.000000,0.000000,0.057581,0.057581,0.000000,0.000000,0.000000
1523130471.000000,0.052621,0.052621,0.000000,0.000000,0.000000,0.047200,0.047200,0.000000,0.000000,0.000000
1523130471.050000,0.046050,0.046050,0.000000,0.000000,0.000000,0.045924,0.045924,0.000000,0.000000,0.000000
1523130471.100000,0.064718,0.064718,0.000000,0.000000,0.000000,0.048778,0.048778,0.000000,0.000000,0.000000
1523130471.150000,0.050141,0.050141,0.000000,0.000000,0.000000,0.072539,0.072539,0.000000,0.000000,0.000000
1523130471.200000,0.090483,0.090483,0.000000,0.000000,0.000000,0.067305,0.067305,0.000000,0.000000,0.000000
1523130471.250000,0.086750,0.086750,0.000000,0.000000,0.000000,0.072000,0.072000,0.000000,0.000000,0.000000
1523130471.300000,0.064939,0.064939,0.000000,0.000000,0.000000,0.072636,0.072636,0.000000,0.000000,0.000000
1523130471.350000,0.058594,0.058594,0.000000,0.000000,0.000000,0.054200,0.054200,0.000000,0.000000,0.000000
1523130471.400000,0.061381,0.061381,0.000000,0.000000,0.000000,0.091844,0.091844,0.000000,0.000000,0.000000
1523130471.450000,0.049025,0.049025,0.000000,0.000000,0.000000,0.025099,0.025099,0.000000,0.000000,0.000000
1523130471.500000,0.032642,0.032642,0.000000,0.000000,0.000000,0.044646,0.044646,0.000000,0.000000,0.000000
1523130471.550000,0.056398,0.056398,0.000000,0.000000,0.000000,0.052541,0.052541,0.000000,0.000000,0.000000
1523130471.600000,0.047636,0.047636,0.000000,0.000000,0.000000,0.057471,0.057471,0.000000,0.000000,0.000000
1523130471.650000,0.049060,0.049060,0.000000,0.000000,0.000000,0.053313,0.053313,0.000000,0.000000,0.000000
1523130471.700000,0.050095,0.050095,0.000000,0.000000,0.000000,0.068964,0.068964,0.000000,0.000000,0.000000
1523130471.750000,0.059763,0.059763,0.000000,0.000000,0.000000,0.059740,0.059740,0.000000,0.000000,0.000000
1523130471.800000,0.058087,0.058087,0.000000,0.000000,0.000000,0.052775,0.052775,0.000000,0.000000,0.000000
1523130471.850000,0.048256,0.048256,0.000000,0.000000,0.000000,0.060161,0.060161,0.000000,0.000000,0.000000
1523130471.900000,0.051367,0.051367,0.000000,0.000000,0.000000,0.047744,0.047744,0.000000,0.000000,0.000000
1523130471.950000,0.057256,0.057256,0.000000,0.000000,0.000000,0.057256,0.057256,0.000000,0.000000,0.000000
1523130472.000000,0.051187,0.051187,0.000000,0.000000,0.000000,0.056350,0.056350,0.000000,0.000000,0.000000
1523130472.050000,0.095620,0.095620,0.000000,0.000000,0.000000,0.057315,0.057315,0.000000,0.000000,0.000000
1523130472.100000,0.042971,0.042971,0.000000,0.000000,0.000000,0.039414,0.039414,0.000000,0.000000,0.000000
1523130472.150000,0.052398,0.052398,0.000000,0.000000,0.000000,0.064157,0.064157,0.000000,0.000000,0.000000
1523130472.200000,0.063391,0.063391,0.000000,0.000000,0.000000,0.058449,0.058449,0.000000,0.000000,0.000000
1523130472.250000,0.077879,0.077879,0.000000,0.000000,0.000000,0.055133,0.055133,0.000000,0.000000,0.000000
1523130472.300000,0.059182,0.059182,0.000000,0.000000,0.000000,0.050500,0.050500,0.000000,0.000000,0.000000
1523130472.350000,0.060576,0.060576,0.000000,0.000000,0.000000,0.043839,0.043839,0.000000,0.000000,0.000000
1523130472.400000,0.031862,0.031862,0.000000,0.000000,0.000000,0.038221,0.038221,0.000000,0.000000,0.000000
1523130472.450000,0.030750,0.030750,0.000000,0.000000,0.000000,0.050386,0.050386,0.000000,0.000000,0.000000
1523130472.500000,0.052964,0.052964,0.000000,0.000000,0.000000,0.069655,0.069655,0.000000,0.000000,0.000000
1523130472.550000,0.061687,0.061687,0.000000,0.000000,0.000000,0.065422,0.065422,0.000000,0.000000,0.000000
1523130472.600000,0.070706,0.070706,0.000000,0.000000,0.000000,0.052485,0.052485,0.000000,0.000000,0.000000
1523130472.650000,0.052977,0.052977,0.000000,0.000000,0.000000,0.051151,0.051151,0.000000,0.000000,0.000000
1523130472.700000,0.097462,0.097462,0.000000,0.000000,0.000000,0.059231,0.059231,0.000000,0.000000,0.000000
1523130472.750000,0.057266,0.057266,0.000000,0.000000,0.000000,0.071963,0.071963,0.000000,0.000000,0.000000
1523130472.800000,0.041582,0.041582,0.000000,0.000000,0.000000,0.058882,0.058882,0.000000,0.000000,0.000000
1523130472.850000,0.042670,0.042670,0.000000,0.000000,0.000000,0.057216,0.057216,0.000000,0.000000,0.000000
1523130472.900000,0.056276,0.056276,0.000000,0.000000,0.000000,0.047467,0.047467,0.000000,0.000000,0.000000
1523130472.950000,0.072397,0.072397,0.000000,0.000000,0.000000,0.049027,0.049027,0.000000,0.000000,0.000000
