timestamp,pit
1538673168800,4656.67
1538673169450,5005.5
1538673169500,5828.4775
1538673169550,7214.051
1538673171300,2.0
1538673171450,2560.0
1538673171500,2133.0
1538673171600,2002.0
1538673171900,2641.0
1538673172100,3172.0
1538673172200,1058.0
1538673172350,1309.0
1538673172500,1408.5
1538673172550,1378.0
1538673172800,1274.0
1538673172850,1145.0
1538673172950,1028.0
1538673173050,732.0
1538673173200,1064.0
1538673173250,1071.0
1538673173300,582.0
1538673173350,649.0
1538673173550,424.0
1538673173600,59.0
1538673173650,501.5
1538673173750,249.0
1538673173800,2.0
1538673173900,58.0
1538673173950,155.0
1538673174050,145.33333
1538673174100,27.0
1538673174250,17.0
1538673174300,134.0
1538673174350,31.0
1538673174400,35.5
1538673174450,14.5
1538673174500,35.0
1538673174600,669.0
1538673174700,23.5
1538673174750,49.0
1538673174850,282.0
1538673174900,226.0
1538673174950,289.0
1538673175050,47.0
1538673175100,155.5
1538673175200,12.5
1538673175250,2.0
1538673175300,7.5
1538673175350,2.0
1538673175400,36.833332
1538673175450,40.0
1538673175500,15.333333
1538673175550,34.0
1538673175600,57.666668
1538673175650,17.5
1538673175700,30.0
1538673175750,29.5
1538673175800,21.333334
1538673175900,107.25
1538673175950,104.0
1538673176000,264.0
1538673176050,155.5
1538673176100,2.0
1538673176150,90.0
1538673176200,24.0
1538673176250,27.0
1538673176300,13.5
1538673176400,18.5
1538673176500,51.0
1538673176550,182.0
1538673176600,258.0
1538673176650,174.5
1538673176700,93.0
1538673176750,104.0
1538673176800,43.666668
1538673176850,6.0
1538673176900,25.5
1538673176950,38.75
1538673177000,106.0
1538673177050,56.666668
1538673177100,67.0
1538673177150,42.5
1538673177200,14.0
1538673177300,44.5
1538673177400,19.5
1538673177450,22.333334
1538673177500,25.0
1538673177550,9.0
1538673177600,17.666666
1538673177650,12.666667
1538673177700,6.5
1538673177850,18.0
1538673177900,20.666666
1538673177950,22.25
1538673178000,2.0
1538673178050,11.0
1538673178100,28.0
1538673178150,27.25
1538673178200,10.0
1538673178250,14.5
1538673178300,4.5
1538673178350,45.0
1538673178400,12.0
1538673178450,14.5
1538673178500,31.0
1538673178550,30.333334
1538673178600,26.5
1538673178650,12.5
1538673178700,8.0
1538673178750,7.0
1538673178800,4.0
1538673178850,13.666667
1538673178900,7.0
1538673178950,10.75
1538673179000,6.0
1538673179050,16.5
1538673179100,8.0
1538673179150,7.0
1538673179200,7.0
1538673179250,24.0
1538673179300,30.0
1538673179350,2.0
1538673179400,19.0
1538673179450,24.0
1538673179500,35.4
1538673179550,18.5
1538673179650,22.5
1538673179700,6.5
1538673179750,21.666666
1538673179800,18.333334
1538673179850,9.0
1538673179900,5.6
1538673179950,29.0
1538673180100,15.333333
1538673180150,6.5
1538673180200,9.25
1538673180250,23.25
1538673180300,8.0
1538673180350,22.0
1538673180400,21.4
1538673180500,21.0
1538673180550,25.6
1538673180600,29.333334
1538673180650,18.0
1538673180700,36.0
1538673180800,10.666667
1538673180850,24.6
1538673180900,43.4
1538673180950,78.666664
1538673181000,24.8
1538673181050,19.333334
1538673181100,16.0
1538673181150,20.0
1538673181200,4.5
1538673181250,7.3333335
1538673181350,15.5
1538673181400,18.5
1538673181450,12.0
1538673181500,21.0
1538673181550,21.0
1538673181600,15.0
1538673181650,13.666667
1538673181700,23.333334
1538673181750,28.666666
1538673181800,19.0
1538673181850,16.6
1538673181900,21.0
1538673181950,7.0
1538673182000,6.0
1538673182050,6.5
1538673182100,7.0
1538673182150,9.0
1538673182200,22.0
1538673182250,21.5
1538673182300,33.5
1538673182350,13.25
1538673182400,13.5
1538673182450,19.0
1538673182500,12.0
1538673182550,12.666667
1538673182600,2.0
1538673182650,10.0
1538673182700,5.0
1538673182800,7.5
1538673182850,34.0
1538673182900,24.8
1538673183000,20.0
1538673183050,14.0
1538673183100,955.0
1538673183150,25.0
1538673183300,12.25
1538673183350,5.25
1538673183400,23.0
1538673183500,19.4
1538673183550,25.0
1538673183600,2.0
1538673183650,19.5
1538673183700,9.25
1538673183750,9.0
1538673183800,24.666666
1538673183850,172.6
1538673183900,15.4
1538673183950,26.0
1538673184000,7.25
1538673184050,35.25
1538673184100,21.5
1538673184150,8.0
1538673184200,17.0
1538673184250,21.4
1538673184300,10.0
1538673184350,21.75
1538673184400,19.0
1538673184450,43.0
1538673184500,10.8
1538673184550,25.5
1538673184600,13.0
1538673184650,32.4
1538673184700,21.0
1538673184750,12.666667
1538673184800,23.333334
1538673184850,17.0
1538673184900,20.0
1538673184950,23.5
1538673185000,11.4
1538673185050,26.0
1538673185100,9.0
1538673185150,26.5
1538673185200,64.75
1538673185250,25.0
1538673185300,9.0
1538673185350,24.0
