timestamp,pit
1538673797750,7764.9766
1538673797800,7622.067
1538673798400,4246.8936
1538673798450,4143.641
1538673801200,2930.0
1538673801300,2978.0
1538673801600,2452.5
1538673801900,1834.0
1538673801950,520.0
1538673802350,1243.0
1538673802400,366.0
1538673802450,283.0
1538673802500,595.5
1538673802550,553.0
1538673802600,514.0
1538673802650,103.0
1538673802700,409.0
1538673802750,315.5
1538673802800,587.0
1538673802850,283.5
1538673802950,845.0
1538673803000,64.4
1538673803050,265.5
1538673803100,116.0
1538673803150,2935.0
1538673803300,135.0
1538673803350,305.5
1538673803400,48.0
1538673803450,206.0
1538673803500,2.0
1538673803550,471.0
1538673803650,2.0
1538673803700,356.0
1538673803800,184.5
1538673803850,208.5
1538673803900,175.5
1538673803950,1999.5
1538673804050,174.0
1538673804100,366.0
1538673804150,44.0
1538673804200,134.0
1538673804250,229.0
1538673804300,3450.0
1538673804400,40.0
1538673804450,54.5
1538673804500,266.0
1538673804550,21.5
1538673804600,77.0
1538673804650,2.0
1538673804700,75.0
1538673804750,324.0
1538673804800,142.0
1538673804850,1683.5
1538673804900,1317.6666
1538673804950,1619.5
1538673805000,1003.0
1538673805100,1796.6666
1538673805150,443.0
1538673805200,1127.0
1538673805300,285.0
1538673805400,2019.0
1538673805450,829.5
1538673805500,781.5
1538673805550,164.0
1538673805650,1207.5
1538673805750,276.66666
1538673805800,267.0
1538673805850,830.8
1538673805900,356.5
1538673805950,1011.0
1538673806000,634.6667
1538673806050,1650.0
1538673806100,984.0
1538673806150,1541.0
1538673806200,902.5
1538673806250,580.3333
1538673806300,1575.5
1538673806350,1654.0
1538673806400,1528.25
1538673806450,1269.0
1538673806500,1119.6666
1538673806550,1592.0
1538673806650,148.0
1538673806700,672.0
1538673806750,2.0
1538673806800,996.6
1538673806850,423.5
1538673806900,126.0
1538673806950,869.0
1538673807000,489.4
1538673807100,737.0
1538673807150,2.0
1538673807200,719.0
1538673807250,565.5
1538673807300,557.6667
1538673807400,345.0
1538673807450,341.66666
1538673807500,2.0
1538673807550,270.66666
1538673807600,229.0
1538673807650,64.333336
1538673807700,59.0
1538673807750,100.0
1538673807800,52.833332
1538673807850,171.875
1538673807900,64.666664
1538673807950,574.5
1538673808000,126.0
1538673808050,225.33333
1538673808100,66.0
1538673808150,21.25
1538673808200,4.0
1538673808250,25.0
1538673808300,38.666668
1538673808350,51.0
1538673808400,36.0
1538673808450,46.0
1538673808500,41.666668
1538673808550,15.166667
1538673808600,51.0
1538673808650,9.0
1538673808700,29.0
1538673808750,5.5
1538673808800,86.2
1538673808850,32.0
1538673808900,2.0
1538673808950,80.0
1538673809000,45.0
1538673809050,34.5
1538673809100,20.75
1538673809150,2.0
1538673809200,13.2
1538673809250,20.5
1538673809300,37.0
1538673809350,2.0
1538673809400,15.0
1538673809450,10.5
1538673809500,17.0
1538673809550,23.0
1538673809600,18.666666
1538673809650,7.25
1538673809700,23.0
1538673809750,17.5
1538673809800,17.5
1538673809850,17.0
1538673809900,9.0
