timestamp,pit
1541028255450,3170.975
1541028255500,3157.0483
1541028255550,3070.0
1541028256000,2380.6035
1541028256050,2000.4045
1541028257200,3212.0
1541028257450,1295.0
1541028257550,3237.5
1541028257600,3033.0
1541028257650,1652.5
1541028257750,3194.0
1541028257850,2964.0
1541028257900,3148.0
1541028258000,413.0
1541028258050,1167.5
1541028258100,263.0
1541028258150,1104.5
1541028258400,2631.0
1541028258500,947.3333
1541028258550,1262.0
1541028258600,1307.0
1541028258650,1086.5
1541028258700,562.75
1541028258750,2050.0
1541028258850,962.0
1541028258900,508.0
1541028258950,41.5
1541028259000,1011.5
1541028259050,2.0
1541028259100,1087.0
1541028259150,1169.0
1541028259200,1401.0
1541028259250,934.0
1541028259300,774.0
1541028259350,775.0
1541028259400,1292.0
1541028259450,1191.0
1541028259500,872.3333
1541028259550,585.0
1541028259600,582.6667
1541028259650,2.0
1541028259700,486.0
1541028259750,297.33334
1541028259800,783.6667
1541028259850,657.0
1541028259900,2.0
1541028260000,450.0
1541028260050,471.5
1541028260100,816.6
1541028260150,672.6667
1541028260200,312.0
1541028260250,509.0
1541028260300,733.5
1541028260350,655.0
1541028260400,673.0
1541028260450,370.0
1541028260500,139.0
1541028260550,204.75
1541028260600,121.5
1541028260650,271.0
1541028260750,270.16666
1541028260800,145.83333
1541028260850,476.2
1541028260900,34.666668
1541028260950,127.0
1541028261000,1147.5
1541028261050,2072.0
1541028261100,40.25
1541028261150,1318.75
1541028261200,579.3333
1541028261250,336.75
1541028261300,33.333332
1541028261350,14.0
1541028261400,300.66666
1541028261450,462.33334
1541028261500,4.6666665
1541028261550,10.666667
1541028261600,20.0
1541028261650,150.16667
1541028261700,15.0
1541028261750,249.16667
1541028261800,538.0
1541028261850,112.5
1541028261900,5.3333335
1541028261950,13.666667
1541028262000,131.75
1541028262050,13.5
1541028262100,21.0
1541028262150,19.6
1541028262250,30.0
1541028262300,15.0
1541028262350,38.5
1541028262400,50.0
1541028262450,175.125
1541028262500,2.0
1541028262550,157.33333
1541028262600,135.83333
1541028262650,4.0
1541028262700,19.0
1541028262750,2.0
1541028262800,34.0
1541028262850,116.6
1541028262900,27.0
1541028262950,132.0
1541028263000,26.333334
1541028263100,35.666668
1541028263150,27.0
1541028263200,4.0
1541028263250,9.666667
1541028263300,8.75
1541028263350,16.6
1541028263400,15.5
1541028263450,22.8
1541028263500,16.333334
1541028263550,22.0
1541028263600,22.0
1541028263650,11.5
1541028263700,27.0
1541028263750,11.0
1541028263800,10.8
1541028263850,13.0
1541028263900,17.75
1541028263950,19.166666
1541028264000,17.0
1541028264050,17.0
1541028264150,20.333334
1541028264200,3.6666667
1541028264250,3.0
1541028264300,27.0
1541028264350,17.5
1541028264400,8.0
1541028264450,9.375
1541028264500,3.0
1541028264550,5.3333335
1541028264600,11.8
1541028264650,2.0
1541028264700,7.5
1541028264750,23.0
1541028264800,8.8
1541028264850,9.0
1541028264900,12.0
1541028264950,12.75
1541028265000,19.0
1541028265050,8.666667
1541028265100,10.4
1541028265150,14.0
1541028265200,24.4
1541028265250,37.5
1541028265300,7.0
1541028265350,12.5
1541028265400,7.6666665
1541028265450,10.0
1541028265500,10.0
1541028265550,18.0
1541028265600,10.0
1541028265650,15.5
1541028265700,6.5
1541028265750,9.5
1541028265800,52.75
1541028265850,14.5
1541028265900,16.5
1541028265950,9.75
1541028266050,18.0
1541028266150,7.25
1541028266200,10.8
1541028266250,21.0
1541028266300,8.333333
