timestamp,pit
1523131165400,84349.2
1523131165450,65480.438
1523131165500,106625.52
1523131165550,119467.87
1523131165600,108889.664
1523131165650,102312.0
1523131165750,131597.33
1523131165800,206770.39
1523131165850,140372.28
1523131165900,135708.1
1523131165950,142085.25
1523131166000,161929.7
1523131166050,189685.06
1523131166100,175143.75
1523131166150,145807.52
1523131166200,129483.31
1523131166350,129030.0
1523131166400,164415.64
1523131166450,150829.44
1523131166500,91296.74
1523131166550,161323.6
1523131166600,191323.3
1523131166650,105493.69
1523131166700,111445.805
1523131166750,126896.414
1523131166800,146033.61
1523131166850,126458.16
1523131166900,131817.05
1523131166950,170931.56
1523131167000,131231.33
1523131167050,118981.76
1523131167100,134578.7
1523131167150,139566.16
1523131167200,104578.61
1523131167250,139596.22
1523131167300,135829.03
1523131167350,74570.16
1523131167400,126477.18
1523131167450,130602.05
1523131167500,120831.086
1523131167550,91280.62
1523131167600,252205.52
1523131167650,138100.48
1523131167700,132648.28
1523131167750,112858.94
1523131167800,88290.07
1523131167850,72351.086
1523131167900,102939.12
1523131167950,94741.13
1523131168000,105281.78
1523131168050,78484.46
1523131168100,80999.71
1523131168150,156363.9
1523131168200,80472.305
1523131168250,108186.6
1523131168300,198388.53
1523131168350,92946.984
1523131168400,136333.03
1523131168450,124240.28
1523131168500,156084.05
1523131168550,125608.38
1523131168600,122125.08
1523131168700,124048.87
1523131168750,211116.7
1523131168800,150418.69
1523131168850,132516.5
1523131168900,102197.32
1523131168950,86763.0
1523131169000,111704.35
1523131169050,116409.42
1523131169100,165763.2
1523131169150,149210.81
1523131169200,158993.69
1523131169250,111480.94
1523131169300,126775.6
1523131169350,153654.42
1523131169400,96822.5
1523131169450,180836.39
1523131169500,199064.58
1523131169550,162852.31
1523131169600,173950.7
1523131169650,118177.97
1523131169700,171765.17
1523131169750,117888.69
1523131169800,125594.516
1523131169850,121743.8
1523131169900,119973.22
1523131169950,101462.43
1523131170000,122932.47
1523131170050,117490.84
1523131170100,165434.39
1523131170150,139437.66
1523131170200,72418.05
1523131170250,101432.55
1523131170300,157695.66
1523131170350,128419.26
1523131170400,124930.13
1523131170450,113141.16
1523131170500,106918.63
1523131170550,141456.75
1523131170600,133324.22
1523131170650,167629.12
1523131170700,103539.72
1523131170750,153384.33
1523131170800,93513.16
1523131170850,170769.58
1523131170900,105771.19
1523131170950,70814.76
1523131171000,63847.49
1523131171050,68790.35
1523131171100,114725.63
1523131171150,91240.28
1523131171200,65888.65
1523131171250,63627.41
1523131171300,136082.7
1523131171350,99047.3
1523131171400,81604.87
1523131171450,134770.5
1523131171600,42358.5
1523131171650,103162.664
1523131171700,111321.77
1523131171750,97403.484
1523131171800,130445.83
1523131171850,107171.5
1523131171900,148452.81
1523131171950,122338.04
1523131172000,158512.55
1523131172050,128882.06
1523131172100,170390.78
1523131172150,124750.94
1523131172200,106529.945
1523131172250,86225.25
1523131172350,83393.02
1523131172400,97484.84
1523131172450,104439.18
1523131172500,93415.984
1523131172550,136626.78
1523131172600,97351.82
1523131172650,150410.56
1523131172700,113681.45
1523131172750,135065.03
1523131172800,135039.45
1523131172850,137235.06
1523131172900,112872.86
1523131172950,98458.555
1523131173000,135019.25
1523131173050,86762.055
1523131173100,109056.91
1523131173150,130971.27
1523131173200,111983.24
1523131173250,115675.97
1523131173300,140368.75
1523131173350,102820.37
1523131173400,95821.555
1523131173450,88201.7
1523131173500,87407.086
1523131173550,54185.305
1523131173600,140976.06
1523131173650,79296.82
1523131173700,86186.46
1523131173750,61120.312
1523131173800,102784.5
1523131173850,67104.13
1523131173900,76393.68
1523131173950,86336.94
1523131174000,131236.53
1523131174050,35652.695
1523131174100,65262.88
1523131174150,48660.22
1523131174200,128306.14
1523131174250,83076.86
1523131174300,69468.266
1523131174350,92318.3
1523131174400,85788.72
1523131174450,32410.0
1523131174550,116757.0
1523131174650,227989.0
1523131174850,131671.0
1523131174900,109163.0
1523131175000,52878.0
1523131175050,80170.0
1523131175150,56875.0
1523131175250,128631.5
1523131175300,35176.2
1523131175350,55787.75
1523131175600,66091.0
1523131175750,4876.5
1523131175800,32977.0
1523131175950,5961.0
1523131176000,73914.0
1523131176050,11384.0
1523131176100,17242.5
1523131176150,23276.0
1523131176200,4572.0
1523131176300,2456.0
