date_time,total_http,StoriesOfTheDay_http,BrowseCategories_http,BrowseStoriesByCategory_http,OlderStories_http,ViewStory_http,SubmitStory_http,StoreStory_http,ViewComment_http,PostComment_http,StoreComment_http,ModerateComment_http,StoreModeratorLog_http,ReviewStories_http,AcceptStory_http,RejectStory_http,Search_http,RegisterUser_http,Author_http,jpg_http,html_http,http_total_longReq,http_adjustLoad
1523131380.550000,173.600024,2.780016,0.680003,0.500002,0.480000,4.859992,0.120006,50.140000,4.220003,0.000000,72.000000,0.100002,4.980000,0.000000,6.000000,6.000000,0.920000,19.820001,0.000000,0.000000,0.000000,0.000000,173.600024
1523131380.600000,161.079994,2.279992,0.000000,0.240006,0.560002,1.960000,0.339999,45.820000,2.060003,0.000000,72.000000,0.000000,5.000000,0.000000,6.000000,6.000000,0.219998,18.559996,0.039997,0.000000,0.000000,0.000000,161.079994
1523131380.650000,152.999951,3.059982,0.219998,0.619998,0.339994,4.819991,0.060000,36.539995,1.459999,0.000000,72.000000,0.099998,5.000000,0.000000,6.000000,5.659996,0.520000,16.599998,0.000000,0.000000,0.000000,0.000000,152.999951
1523131380.700000,159.959989,2.540010,0.000000,0.919998,0.119996,13.299993,0.419998,35.000000,2.339994,0.000000,72.019996,0.000000,5.000000,0.000000,6.000000,4.000000,1.300003,17.000000,0.000000,0.000000,0.000000,0.000000,159.959989
1523131380.750000,155.659995,4.399999,0.000000,0.419998,0.999999,7.719985,0.079999,35.480000,2.140012,0.000000,72.019999,0.060001,5.000000,0.000000,6.000000,4.000000,0.840001,16.500002,0.000000,0.000000,0.000000,0.000000,155.659995
1523131380.800000,155.459995,3.879998,0.039997,0.239998,0.580000,6.000010,0.219998,35.580003,3.399998,0.000000,71.940001,0.019999,5.000000,0.239997,6.000000,4.000000,0.999996,17.320001,0.000000,0.000000,0.000000,0.000000,155.459995
1523131380.850000,157.839987,2.300004,0.099998,0.299995,0.119998,7.739995,0.240001,37.160001,3.879992,0.000000,71.980000,0.000000,5.000000,0.080004,6.000000,4.000000,0.939999,18.000000,0.000000,0.000000,0.000000,0.000000,157.839987
1523131380.900000,162.859980,4.299977,0.359998,0.199997,0.000000,9.300008,1.219994,39.460001,1.539999,0.000000,72.000000,0.000000,5.000000,0.000000,6.000000,4.680001,1.220002,17.580003,0.000000,0.000000,0.000000,0.000000,162.859980
1523131380.950000,170.439992,3.539994,0.480000,0.220001,0.660001,13.219997,0.979997,41.080004,4.279997,0.000000,71.960000,0.000000,4.419998,0.060000,6.000000,5.000000,0.540003,18.000000,0.000000,0.000000,0.000000,0.000000,170.439992
1523131381.000000,165.679987,1.600005,0.219997,0.579991,0.160002,13.619991,0.240001,41.660002,1.999997,0.000000,71.940001,0.000000,4.000000,0.000000,6.000000,5.000000,0.660000,18.000000,0.000000,0.000000,0.000000,0.000000,165.679987
