date_time,total_http,SELECT_http,INSERT_http,UPDATE_http,DELETE_http,http_total_longReq,http_adjustLoad
1538666100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666100.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666100.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666100.150000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666100.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666100.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666100.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666100.350000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666100.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666100.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666100.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666100.550000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666100.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666100.650000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666100.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666100.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666100.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666100.850000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666100.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666100.950000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666101.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666101.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666101.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666101.150000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666101.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666101.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666101.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666101.350000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666101.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666101.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666101.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666101.550000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666101.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666101.650000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666101.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666101.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666101.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666101.850000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666101.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666101.950000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666102.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666102.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666102.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666102.150000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666102.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666102.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666102.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666102.350000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666102.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666102.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666102.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666102.550000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666102.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666102.650000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666102.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666102.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666102.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666102.850000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666102.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666102.950000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666103.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666103.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666103.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666103.150000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666103.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666103.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666103.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666103.350000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666103.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666103.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666103.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538666103.550000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
