date_time,total_http,SELECT_http,INSERT_http,UPDATE_http,DELETE_http,total_http_out_rs,SELECT_http_out_rs,INSERT_http_out_rs,UPDATE_http_out_rs,DELETE_http_out_rs
1524020642.000000,0.001261,0.001261,0.000000,0.000000,0.000000,0.001261,0.001261,0.000000,0.000000,0.000000
1524020642.050000,0.001710,0.001710,0.000000,0.000000,0.000000,0.001717,0.001717,0.000000,0.000000,0.000000
1524020642.100000,0.001452,0.001452,0.000000,0.000000,0.000000,0.001455,0.001455,0.000000,0.000000,0.000000
1524020642.150000,0.000800,0.000800,0.000000,0.000000,0.000000,0.000793,0.000793,0.000000,0.000000,0.000000
1524020642.200000,0.001333,0.001333,0.000000,0.000000,0.000000,0.001320,0.001320,0.000000,0.000000,0.000000
1524020642.250000,0.001029,0.001029,0.000000,0.000000,0.000000,0.001000,0.001000,0.000000,0.000000,0.000000
1524020642.300000,0.001143,0.001143,0.000000,0.000000,0.000000,0.001187,0.001187,0.000000,0.000000,0.000000
1524020642.350000,0.001862,0.001862,0.000000,0.000000,0.000000,0.001862,0.001862,0.000000,0.000000,0.000000
1524020642.400000,0.001000,0.001000,0.000000,0.000000,0.000000,0.001000,0.001000,0.000000,0.000000,0.000000
1524020642.450000,0.001513,0.001513,0.000000,0.000000,0.000000,0.001436,0.001436,0.000000,0.000000,0.000000
1524020642.500000,0.001407,0.001407,0.000000,0.000000,0.000000,0.001483,0.001483,0.000000,0.000000,0.000000
1524020642.550000,0.001125,0.001125,0.000000,0.000000,0.000000,0.001130,0.001130,0.000000,0.000000,0.000000
1524020642.600000,0.002000,0.002000,0.000000,0.000000,0.000000,0.001977,0.001977,0.000000,0.000000,0.000000
1524020642.650000,0.001400,0.001400,0.000000,0.000000,0.000000,0.001421,0.001421,0.000000,0.000000,0.000000
1524020642.700000,0.001467,0.001467,0.000000,0.000000,0.000000,0.001452,0.001452,0.000000,0.000000,0.000000
1524020642.750000,0.001000,0.001000,0.000000,0.000000,0.000000,0.001000,0.001000,0.000000,0.000000,0.000000
1524020642.800000,0.002275,0.002275,0.000000,0.000000,0.000000,0.002275,0.002275,0.000000,0.000000,0.000000
1524020642.850000,0.001224,0.001224,0.000000,0.000000,0.000000,0.001224,0.001224,0.000000,0.000000,0.000000
1524020642.900000,0.001194,0.001194,0.000000,0.000000,0.000000,0.001103,0.001103,0.000000,0.000000,0.000000
1524020642.950000,0.002035,0.002035,0.000000,0.000000,0.000000,0.002065,0.002065,0.000000,0.000000,0.000000
1524020643.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.001000,0.001000,0.000000,0.000000,0.000000
1524020643.050000,0.001361,0.001361,0.000000,0.000000,0.000000,0.001361,0.001361,0.000000,0.000000,0.000000
1524020643.100000,0.001312,0.001312,0.000000,0.000000,0.000000,0.001312,0.001312,0.000000,0.000000,0.000000
1524020643.150000,0.001564,0.001564,0.000000,0.000000,0.000000,0.001556,0.001556,0.000000,0.000000,0.000000
1524020643.200000,0.001067,0.001067,0.000000,0.000000,0.000000,0.001094,0.001094,0.000000,0.000000,0.000000
1524020643.250000,0.000850,0.000850,0.000000,0.000000,0.000000,0.000850,0.000850,0.000000,0.000000,0.000000
1524020643.300000,0.001385,0.001385,0.000000,0.000000,0.000000,0.001385,0.001385,0.000000,0.000000,0.000000
1524020643.350000,0.001241,0.001241,0.000000,0.000000,0.000000,0.001241,0.001241,0.000000,0.000000,0.000000
1524020643.400000,0.001478,0.001478,0.000000,0.000000,0.000000,0.001478,0.001478,0.000000,0.000000,0.000000
1524020643.450000,0.001273,0.001273,0.000000,0.000000,0.000000,0.001286,0.001286,0.000000,0.000000,0.000000
1524020643.500000,0.001838,0.001838,0.000000,0.000000,0.000000,0.001229,0.001229,0.000000,0.000000,0.000000
1524020643.550000,0.001731,0.001731,0.000000,0.000000,0.000000,0.002109,0.002109,0.000000,0.000000,0.000000
1524020643.600000,0.001087,0.001087,0.000000,0.000000,0.000000,0.001087,0.001087,0.000000,0.000000,0.000000
