timestamp,pit
1541027549850,3255.9878
1541027549900,3161.2974
1541027550350,2622.6394
1541027550400,2368.7402
1541027550450,2235.8333
1541027552450,2435.0
1541027552500,2964.0
1541027552650,1683.0
1541027552700,1690.0
1541027552750,2199.5
1541027552850,1695.0
1541027552950,1917.5
1541027553000,1311.5
1541027553050,1.0
1541027553100,1081.5
1541027553150,615.0
1541027553200,1818.0
1541027553250,70.0
1541027553300,2249.0
1541027553350,1008.6667
1541027553400,1.0
1541027553450,648.6667
1541027553500,1637.0
1541027553550,1527.6666
1541027553600,1118.0
1541027553650,632.3333
1541027553700,1184.0
1541027553750,1392.0
1541027553850,810.0
1541027553900,384.0
1541027554000,752.6667
1541027554050,5.0
1541027554100,1045.0
1541027554150,1032.0
1541027554200,814.0
1541027554250,1229.5
1541027554300,489.0
1541027554400,1021.5
1541027554450,2.0
1541027554500,2.0
1541027554550,684.75
1541027554600,708.0
1541027554650,964.0
1541027554700,893.6667
1541027554800,829.0
1541027554850,330.5
1541027554900,623.0
1541027554950,778.0
1541027555000,906.6667
1541027555050,239.0
1541027555100,471.0
1541027555150,385.0
1541027555200,274.66666
1541027555250,96.5
1541027555300,250.0
1541027555400,259.0
1541027555450,121.0
1541027555500,160.0
1541027555550,4.0
1541027555600,10.0
1541027555650,242.0
1541027555700,28.0
1541027555750,288.66666
1541027555800,336.33334
1541027555850,466.2
1541027555900,13.75
1541027555950,30.333334
1541027556000,23.666666
1541027556050,169.0
1541027556100,2.0
1541027556150,17.2
1541027556200,33.166668
1541027556250,18.0
1541027556350,8.0
1541027556400,404.0
1541027556450,10.5
1541027556500,13.0
1541027556550,31.333334
1541027556600,15.75
1541027556650,17.5
1541027556700,7.0
1541027556750,11.571428
1541027556800,24.75
1541027556850,16.0
1541027556900,31.0
1541027557000,12.5
1541027557050,22.0
1541027557100,43.25
1541027557150,30.0
1541027557200,12.5
1541027557250,12.0
1541027557300,24.0
1541027557350,17.0
1541027557400,21.2
1541027557450,20.857143
1541027557500,53.0
1541027557550,27.5
1541027557600,9.166667
1541027557650,6.5
1541027557700,11.0
1541027557750,10.0
1541027557800,8.0
1541027557850,14.5
1541027557900,17.0
1541027557950,30.333334
1541027558000,4.6666665
1541027558050,19.666666
1541027558100,9.166667
1541027558150,4.5
1541027558200,9.0
1541027558250,11.5
1541027558300,18.666666
1541027558350,10.666667
1541027558400,8.0
1541027558450,7.0
1541027558500,3050.6667
1541027558550,3.0
1541027558650,25.0
1541027558700,11.0
1541027558750,15.0
1541027558800,11.0
1541027558850,22.0
1541027558900,29.75
1541027558950,29.5
1541027559000,12.833333
1541027559050,38.333332
1541027559100,6.5
1541027559150,6.0
1541027559200,18.0
1541027559250,24.0
1541027559300,13.0
1541027559350,11.5
1541027559400,191.83333
1541027559450,9.0
1541027559500,11.8
1541027559550,15.5
1541027559600,13.5
1541027559650,36.0
1541027559700,13.0
1541027559750,6.6666665
1541027559800,2.0
1541027559850,12.8
1541027559900,25.0
1541027560000,11.333333
1541027560050,14.666667
1541027560100,63.0
1541027560150,7.0
1541027560200,10.333333
1541027560250,7.0
1541027560300,7.0
1541027560350,13.0
1541027560400,6.6666665
1541027560450,18.5
1541027560500,4.0
1541027560550,32.0
1541027560600,8.0
1541027560650,7.5
1541027560700,6.5
