date_time,total_http_start,total_http_end,SELECT_http_start,SELECT_http_end,INSERT_http_start,INSERT_http_end,UPDATE_http_start,UPDATE_http_end,DELETE_http_start,DELETE_http_end
1523132153.000000,38,45,38,45,0,0,0,0,0,0
1523132153.050000,36,35,36,35,0,0,0,0,0,0
1523132153.100000,36,40,36,40,0,0,0,0,0,0
1523132153.150000,53,54,53,54,0,0,0,0,0,0
1523132153.200000,53,43,53,43,0,0,0,0,0,0
1523132153.250000,29,31,29,31,0,0,0,0,0,0
1523132153.300000,37,33,37,33,0,0,0,0,0,0
1523132153.350000,31,38,31,38,0,0,0,0,0,0
1523132153.400000,40,35,40,35,0,0,0,0,0,0
1523132153.450000,34,37,34,37,0,0,0,0,0,0
1523132153.500000,35,52,35,52,0,0,0,0,0,0
1523132153.550000,54,37,54,37,0,0,0,0,0,0
1523132153.600000,38,51,38,51,0,0,0,0,0,0
1523132153.650000,55,48,55,48,0,0,0,0,0,0
1523132153.700000,27,31,27,31,0,0,0,0,0,0
1523132153.750000,46,54,46,54,0,0,0,0,0,0
1523132153.800000,47,42,47,42,0,0,0,0,0,0
1523132153.850000,32,30,32,30,0,0,0,0,0,0
1523132153.900000,38,28,38,28,0,0,0,0,0,0
1523132153.950000,27,36,27,36,0,0,0,0,0,0
1523132154.000000,52,60,52,60,0,0,0,0,0,0
1523132154.050000,24,26,24,26,0,0,0,0,0,0
1523132154.100000,0,0,0,0,0,0,0,0,0,0
1523132154.150000,0,0,0,0,0,0,0,0,0,0
1523132154.200000,27,15,27,15,0,0,0,0,0,0
1523132154.250000,22,22,22,22,0,0,0,0,0,0
1523132154.300000,56,28,56,28,0,0,0,0,0,0
1523132154.350000,27,56,27,56,0,0,0,0,0,0
1523132154.400000,37,32,37,32,0,0,0,0,0,0
1523132154.450000,58,46,58,46,0,0,0,0,0,0
1523132154.500000,66,72,66,72,0,0,0,0,0,0
1523132154.550000,45,60,45,60,0,0,0,0,0,0
1523132154.600000,26,29,26,29,0,0,0,0,0,0
1523132154.650000,43,31,43,31,0,0,0,0,0,0
1523132154.700000,30,31,30,31,0,0,0,0,0,0
1523132154.750000,43,30,43,30,0,0,0,0,0,0
1523132154.800000,32,45,32,45,0,0,0,0,0,0
1523132154.850000,36,44,36,44,0,0,0,0,0,0
1523132154.900000,30,31,30,31,0,0,0,0,0,0
1523132154.950000,22,23,22,23,0,0,0,0,0,0
1523132155.000000,53,37,53,37,0,0,0,0,0,0
1523132155.050000,49,50,49,50,0,0,0,0,0,0
1523132155.100000,39,45,39,45,0,0,0,0,0,0
1523132155.150000,54,35,54,35,0,0,0,0,0,0
1523132155.200000,35,44,35,44,0,0,0,0,0,0
1523132155.250000,64,51,64,51,0,0,0,0,0,0
1523132155.300000,42,42,42,42,0,0,0,0,0,0
1523132155.350000,41,44,41,44,0,0,0,0,0,0
1523132155.400000,27,35,27,35,0,0,0,0,0,0
1523132155.450000,38,48,38,48,0,0,0,0,0,0
1523132155.500000,32,32,32,32,0,0,0,0,0,0
1523132155.550000,44,44,44,44,0,0,0,0,0,0
1523132155.600000,56,55,56,55,0,0,0,0,0,0
1523132155.650000,39,45,39,45,0,0,0,0,0,0
1523132155.700000,31,34,31,34,0,0,0,0,0,0
1523132155.750000,31,28,31,28,0,0,0,0,0,0
1523132155.800000,43,38,43,38,0,0,0,0,0,0
1523132155.850000,42,32,42,32,0,0,0,0,0,0
1523132155.900000,37,35,37,35,0,0,0,0,0,0
1523132155.950000,37,44,37,44,0,0,0,0,0,0
1523132156.000000,41,46,41,46,0,0,0,0,0,0
1523132156.050000,48,51,48,51,0,0,0,0,0,0
1523132156.100000,48,53,48,53,0,0,0,0,0,0
1523132156.150000,72,62,72,62,0,0,0,0,0,0
1523132156.200000,45,51,45,51,0,0,0,0,0,0
1523132156.250000,24,30,24,30,0,0,0,0,0,0
1523132156.300000,46,44,46,44,0,0,0,0,0,0
1523132156.350000,33,31,33,31,0,0,0,0,0,0
1523132156.400000,48,41,48,41,0,0,0,0,0,0
1523132156.450000,31,44,31,44,0,0,0,0,0,0
1523132156.500000,33,35,33,35,0,0,0,0,0,0
1523132156.550000,58,6,58,6,0,0,0,0,0,0
1523132156.600000,25,77,25,77,0,0,0,0,0,0
1523132156.650000,2,4,2,4,0,0,0,0,0,0
1523132156.700000,3,3,3,3,0,0,0,0,0,0
1523132156.750000,4,4,4,4,0,0,0,0,0,0
1523132156.800000,3,3,3,3,0,0,0,0,0,0
1523132156.850000,2,2,2,2,0,0,0,0,0,0
1523132156.900000,3,3,3,3,0,0,0,0,0,0
1523132156.950000,3,3,3,3,0,0,0,0,0,0
1523132157.000000,4,3,4,3,0,0,0,0,0,0
1523132157.050000,19,7,19,7,0,0,0,0,0,0
1523132157.100000,30,29,30,29,0,0,0,0,0,0
1523132157.150000,38,31,38,31,0,0,0,0,0,0
1523132157.200000,42,48,42,48,0,0,0,0,0,0
