date_time,total_http,SELECT_http,INSERT_http,UPDATE_http,DELETE_http,http_total_longReq,http_adjustLoad
1538673349.000000,0.919997,0.919997,0.000000,0.000000,0.000000,0.000000,0.919997
1538673349.050000,0.339999,0.339999,0.000000,0.000000,0.000000,0.000000,0.339999
1538673349.100000,0.140004,0.140004,0.000000,0.000000,0.000000,0.000000,0.140004
1538673349.150000,0.440001,0.440001,0.000000,0.000000,0.000000,0.000000,0.440001
1538673349.200000,0.879989,0.879989,0.000000,0.000000,0.000000,0.000000,0.879989
1538673349.250000,0.639996,0.639996,0.000000,0.000000,0.000000,0.000000,0.639996
1538673349.300000,0.699987,0.699987,0.000000,0.000000,0.000000,0.000000,0.699987
1538673349.350000,1.179996,1.179996,0.000000,0.000000,0.000000,0.000000,1.179996
1538673349.400000,0.100002,0.100002,0.000000,0.000000,0.000000,0.000000,0.100002
1538673349.450000,0.560007,0.560007,0.000000,0.000000,0.000000,0.000000,0.560007
1538673349.500000,0.560009,0.560009,0.000000,0.000000,0.000000,0.000000,0.560009
1538673349.550000,0.839998,0.839998,0.000000,0.000000,0.000000,0.000000,0.839998
1538673349.600000,1.879989,1.879989,0.000000,0.000000,0.000000,0.000000,1.879989
1538673349.650000,1.300002,1.300002,0.000000,0.000000,0.000000,0.000000,1.300002
1538673349.700000,2.439981,2.439981,0.000000,0.000000,0.000000,0.000000,2.439981
1538673349.750000,2.139977,2.139977,0.000000,0.000000,0.000000,0.000000,2.139977
1538673349.800000,1.500004,1.500004,0.000000,0.000000,0.000000,0.000000,1.500004
1538673349.850000,1.459991,1.459991,0.000000,0.000000,0.000000,0.000000,1.459991
1538673349.900000,1.700002,1.700002,0.000000,0.000000,0.000000,0.000000,1.700002
1538673349.950000,1.339994,1.339994,0.000000,0.000000,0.000000,0.000000,1.339994
1538673350.000000,1.879974,1.879974,0.000000,0.000000,0.000000,0.000000,1.879974
1538673350.050000,1.919975,1.919975,0.000000,0.000000,0.000000,0.000000,1.919975
1538673350.100000,1.500001,1.500001,0.000000,0.000000,0.000000,0.000000,1.500001
1538673350.150000,2.439981,2.439981,0.000000,0.000000,0.000000,0.000000,2.439981
1538673350.200000,1.939994,1.939994,0.000000,0.000000,0.000000,0.000000,1.939994
1538673350.250000,1.739985,1.739985,0.000000,0.000000,0.000000,0.000000,1.739985
1538673350.300000,1.299997,1.299997,0.000000,0.000000,0.000000,0.000000,1.299997
1538673350.350000,1.640000,1.640000,0.000000,0.000000,0.000000,0.000000,1.640000
1538673350.400000,1.360002,1.360002,0.000000,0.000000,0.000000,0.000000,1.360002
1538673350.450000,1.959986,1.959986,0.000000,0.000000,0.000000,0.000000,1.959986
1538673350.500000,1.579993,1.579993,0.000000,0.000000,0.000000,0.000000,1.579993
1538673350.550000,1.660005,1.660005,0.000000,0.000000,0.000000,0.000000,1.660005
1538673350.600000,2.039982,2.039982,0.000000,0.000000,0.000000,0.000000,2.039982
1538673350.650000,1.299993,1.299993,0.000000,0.000000,0.000000,0.000000,1.299993
1538673350.700000,0.719994,0.719994,0.000000,0.000000,0.000000,0.000000,0.719994
1538673350.750000,0.039997,0.039997,0.000000,0.000000,0.000000,0.000000,0.039997
1538673350.800000,0.580004,0.580004,0.000000,0.000000,0.000000,0.000000,0.580004
1538673350.850000,0.740007,0.740007,0.000000,0.000000,0.000000,0.000000,0.740007
1538673350.900000,0.379992,0.379992,0.000000,0.000000,0.000000,0.000000,0.379992
1538673350.950000,1.040009,1.040009,0.000000,0.000000,0.000000,0.000000,1.040009
1538673351.000000,0.439997,0.439997,0.000000,0.000000,0.000000,0.000000,0.439997
1538673351.050000,0.499990,0.499990,0.000000,0.000000,0.000000,0.000000,0.499990
1538673351.100000,0.759999,0.759999,0.000000,0.000000,0.000000,0.000000,0.759999
1538673351.150000,0.279995,0.279995,0.000000,0.000000,0.000000,0.000000,0.279995
1538673351.200000,0.680008,0.680008,0.000000,0.000000,0.000000,0.000000,0.680008
1538673351.250000,0.659995,0.659995,0.000000,0.000000,0.000000,0.000000,0.659995
1538673351.300000,0.120001,0.120001,0.000000,0.000000,0.000000,0.000000,0.120001
1538673351.350000,0.840014,0.840014,0.000000,0.000000,0.000000,0.000000,0.840014
1538673351.400000,0.839980,0.839980,0.000000,0.000000,0.000000,0.000000,0.839980
1538673351.450000,0.279992,0.279992,0.000000,0.000000,0.000000,0.000000,0.279992
1538673351.500000,0.480027,0.480027,0.000000,0.000000,0.000000,0.000000,0.480027
1538673351.550000,0.520014,0.520014,0.000000,0.000000,0.000000,0.000000,0.520014
1538673351.600000,0.259995,0.259995,0.000000,0.000000,0.000000,0.000000,0.259995
1538673351.650000,0.519994,0.519994,0.000000,0.000000,0.000000,0.000000,0.519994
1538673351.700000,0.580010,0.580010,0.000000,0.000000,0.000000,0.000000,0.580010
1538673351.750000,0.839995,0.839995,0.000000,0.000000,0.000000,0.000000,0.839995
1538673351.800000,0.820004,0.820004,0.000000,0.000000,0.000000,0.000000,0.820004
1538673351.850000,1.219975,1.219975,0.000000,0.000000,0.000000,0.000000,1.219975
1538673351.900000,1.619991,1.619991,0.000000,0.000000,0.000000,0.000000,1.619991
1538673351.950000,0.540001,0.540001,0.000000,0.000000,0.000000,0.000000,0.540001
1538673352.000000,0.159998,0.159998,0.000000,0.000000,0.000000,0.000000,0.159998
1538673352.050000,0.919997,0.919997,0.000000,0.000000,0.000000,0.000000,0.919997
1538673352.100000,1.740004,1.740004,0.000000,0.000000,0.000000,0.000000,1.740004
1538673352.150000,0.140003,0.140003,0.000000,0.000000,0.000000,0.000000,0.140003
1538673352.200000,0.179999,0.179999,0.000000,0.000000,0.000000,0.000000,0.179999
1538673352.250000,0.379990,0.379990,0.000000,0.000000,0.000000,0.000000,0.379990
1538673352.300000,0.240002,0.240002,0.000000,0.000000,0.000000,0.000000,0.240002
1538673352.350000,0.239992,0.239992,0.000000,0.000000,0.000000,0.000000,0.239992
1538673352.400000,0.099998,0.099998,0.000000,0.000000,0.000000,0.000000,0.099998
1538673352.450000,1.579982,1.579982,0.000000,0.000000,0.000000,0.000000,1.579982
1538673352.500000,0.160003,0.160003,0.000000,0.000000,0.000000,0.000000,0.160003
1538673352.550000,0.419984,0.419984,0.000000,0.000000,0.000000,0.000000,0.419984
1538673352.600000,0.560006,0.560006,0.000000,0.000000,0.000000,0.000000,0.560006
1538673352.650000,0.620008,0.620008,0.000000,0.000000,0.000000,0.000000,0.620008
1538673352.700000,0.559998,0.559998,0.000000,0.000000,0.000000,0.000000,0.559998
1538673352.750000,0.280004,0.280004,0.000000,0.000000,0.000000,0.000000,0.280004
1538673352.800000,1.019990,1.019990,0.000000,0.000000,0.000000,0.000000,1.019990
1538673352.850000,1.000004,1.000004,0.000000,0.000000,0.000000,0.000000,1.000004
1538673352.900000,0.640005,0.640005,0.000000,0.000000,0.000000,0.000000,0.640005
1538673352.950000,0.440008,0.440008,0.000000,0.000000,0.000000,0.000000,0.440008
1538673353.000000,0.220003,0.220003,0.000000,0.000000,0.000000,0.000000,0.220003
1538673353.050000,0.399989,0.399989,0.000000,0.000000,0.000000,0.000000,0.399989
1538673353.100000,0.439999,0.439999,0.000000,0.000000,0.000000,0.000000,0.439999
1538673353.150000,0.420009,0.420009,0.000000,0.000000,0.000000,0.000000,0.420009
1538673353.200000,0.439992,0.439992,0.000000,0.000000,0.000000,0.000000,0.439992
1538673353.250000,0.540015,0.540015,0.000000,0.000000,0.000000,0.000000,0.540015
1538673353.300000,0.700011,0.700011,0.000000,0.000000,0.000000,0.000000,0.700011
1538673353.350000,0.479999,0.479999,0.000000,0.000000,0.000000,0.000000,0.479999
1538673353.400000,0.739992,0.739992,0.000000,0.000000,0.000000,0.000000,0.739992
1538673353.450000,0.820021,0.820021,0.000000,0.000000,0.000000,0.000000,0.820021
1538673353.500000,1.659979,1.659979,0.000000,0.000000,0.000000,0.000000,1.659979
1538673353.550000,0.900003,0.900003,0.000000,0.000000,0.000000,0.000000,0.900003
1538673353.600000,0.719995,0.719995,0.000000,0.000000,0.000000,0.000000,0.719995
1538673353.650000,0.839972,0.839972,0.000000,0.000000,0.000000,0.000000,0.839972
1538673353.700000,0.319997,0.319997,0.000000,0.000000,0.000000,0.000000,0.319997
1538673353.750000,1.079985,1.079985,0.000000,0.000000,0.000000,0.000000,1.079985
1538673353.800000,0.200000,0.200000,0.000000,0.000000,0.000000,0.000000,0.200000
1538673353.850000,0.239989,0.239989,0.000000,0.000000,0.000000,0.000000,0.239989
1538673353.900000,0.279989,0.279989,0.000000,0.000000,0.000000,0.000000,0.279989
1538673353.950000,0.299993,0.299993,0.000000,0.000000,0.000000,0.000000,0.299993
1538673354.000000,0.320019,0.320019,0.000000,0.000000,0.000000,0.000000,0.320019
1538673354.050000,0.260008,0.260008,0.000000,0.000000,0.000000,0.000000,0.260008
1538673354.100000,0.859987,0.859987,0.000000,0.000000,0.000000,0.000000,0.859987
1538673354.150000,0.740008,0.740008,0.000000,0.000000,0.000000,0.000000,0.740008
1538673354.200000,0.180001,0.180001,0.000000,0.000000,0.000000,0.000000,0.180001
1538673354.250000,0.380004,0.380004,0.000000,0.000000,0.000000,0.000000,0.380004
1538673354.300000,0.660004,0.660004,0.000000,0.000000,0.000000,0.000000,0.660004
1538673354.350000,0.140004,0.140004,0.000000,0.000000,0.000000,0.000000,0.140004
1538673354.400000,0.180011,0.180011,0.000000,0.000000,0.000000,0.000000,0.180011
1538673354.450000,0.299993,0.299993,0.000000,0.000000,0.000000,0.000000,0.299993
1538673354.500000,0.559998,0.559998,0.000000,0.000000,0.000000,0.000000,0.559998
1538673354.550000,0.739999,0.739999,0.000000,0.000000,0.000000,0.000000,0.739999
1538673354.600000,0.339999,0.339999,0.000000,0.000000,0.000000,0.000000,0.339999
