date_time,total_http_start,total_http_end,StoriesOfTheDay_http_start,StoriesOfTheDay_http_end,BrowseCategories_http_start,BrowseCategories_http_end,BrowseStoriesByCategory_http_start,BrowseStoriesByCategory_http_end,OlderStories_http_start,OlderStories_http_end,ViewStory_http_start,ViewStory_http_end,SubmitStory_http_start,SubmitStory_http_end,StoreStory_http_start,StoreStory_http_end,ViewComment_http_start,ViewComment_http_end,PostComment_http_start,PostComment_http_end,StoreComment_http_start,StoreComment_http_end,ModerateComment_http_start,ModerateComment_http_end,StoreModeratorLog_http_start,StoreModeratorLog_http_end,ReviewStories_http_start,ReviewStories_http_end,AcceptStory_http_start,AcceptStory_http_end,RejectStory_http_start,RejectStory_http_end,Search_http_start,Search_http_end,RegisterUser_http_start,RegisterUser_http_end,Author_http_start,Author_http_end,jpg_http_start,jpg_http_end,html_http_start,html_http_end
1523129705.500000,108,111,20,21,0,0,2,2,0,0,40,40,3,3,2,2,18,19,0,0,12,12,2,2,0,0,0,0,0,0,0,0,9,10,0,0,0,0,0,0,0,0
1523129705.550000,127,123,16,14,1,1,2,2,6,6,55,56,1,1,5,4,10,9,0,0,19,20,0,0,0,0,0,0,0,0,2,1,8,8,2,1,0,0,0,0,0,0
1523129705.600000,100,92,12,12,0,0,1,1,9,8,36,33,2,1,1,3,5,4,0,0,20,19,0,0,0,0,1,1,2,1,1,0,10,9,0,0,0,0,0,0,0,0
1523129705.650000,144,112,24,18,2,1,4,2,3,3,73,56,2,3,4,2,18,14,0,0,2,2,0,0,0,0,2,2,0,0,2,1,7,7,0,0,1,1,0,0,0,0
1523129705.700000,98,115,14,19,0,1,3,4,9,9,43,53,0,0,5,6,17,17,0,0,1,1,0,0,0,0,1,1,0,0,1,1,4,3,0,0,0,0,0,0,0,0
1523129705.750000,126,130,19,20,1,0,0,1,7,8,57,58,2,2,5,4,23,25,0,0,5,5,0,0,0,1,0,0,0,0,0,0,5,5,2,1,0,0,0,0,0,0
1523129705.800000,118,124,10,12,1,2,3,2,4,4,63,66,1,1,4,2,17,18,0,0,2,2,0,0,0,0,1,1,2,1,0,0,6,8,4,5,0,0,0,0,0,0
1523129705.850000,122,110,10,10,0,0,3,4,6,6,38,36,0,0,8,6,26,22,0,0,5,5,0,0,5,5,0,0,0,0,2,1,15,13,4,2,0,0,0,0,0,0
1523129705.900000,110,121,12,12,1,1,2,2,2,2,46,55,0,0,8,4,21,27,0,0,7,7,0,0,4,3,0,0,1,1,0,0,3,5,2,1,1,1,0,0,0,0
1523129705.950000,111,103,13,13,3,3,5,5,4,4,50,43,3,3,2,2,6,7,0,0,7,7,0,0,3,2,0,0,1,1,0,0,9,9,5,4,0,0,0,0,0,0
1523129706.000000,106,102,18,13,1,1,2,2,2,1,49,51,2,2,2,3,8,7,0,0,4,4,0,0,1,1,0,0,1,1,0,0,14,12,2,4,0,0,0,0,0,0
1523129706.050000,102,108,12,16,3,2,2,2,6,7,48,50,2,2,8,6,10,11,0,0,3,3,0,0,0,0,0,0,0,0,0,0,6,6,1,2,1,1,0,0,0,0
1523129706.100000,115,114,10,10,2,3,0,0,1,0,39,38,2,2,4,4,26,24,0,0,16,16,0,0,0,0,1,1,2,1,0,1,9,10,2,4,1,0,0,0,0,0
1523129706.150000,92,102,5,6,1,1,1,1,7,8,28,31,1,1,2,4,8,10,0,0,24,25,0,0,0,0,0,0,5,3,0,0,7,8,3,3,0,1,0,0,0,0
1523129706.200000,94,95,5,5,2,2,1,1,8,7,16,15,0,0,0,5,12,11,0,0,36,35,0,0,3,2,0,0,1,1,0,3,5,5,5,3,0,0,0,0,0,0
1523129706.250000,95,105,5,4,0,0,4,4,4,5,49,49,0,0,2,8,8,9,0,0,13,13,0,0,0,0,0,0,1,1,0,0,4,4,5,8,0,0,0,0,0,0
1523129706.300000,107,114,19,19,2,2,1,0,4,4,41,44,1,1,2,7,16,16,0,0,3,3,0,0,5,5,1,1,0,0,0,1,8,8,3,2,1,1,0,0,0,0
1523129706.350000,109,110,8,9,2,2,2,3,6,6,36,34,2,2,4,4,13,13,0,0,9,9,0,0,2,2,0,0,5,6,0,0,12,12,8,8,0,0,0,0,0,0
1523129706.400000,123,123,14,14,2,2,3,3,2,2,39,41,2,2,6,8,28,28,0,0,14,14,0,0,2,2,0,0,1,1,0,0,4,3,6,3,0,0,0,0,0,0
1523129706.450000,122,116,21,19,1,1,2,2,7,6,29,28,2,2,4,3,15,14,0,0,26,26,0,0,0,0,3,3,2,2,0,0,7,7,3,3,0,0,0,0,0,0
1523129706.500000,107,110,8,10,4,2,1,1,5,6,40,40,2,2,6,4,10,10,0,0,25,27,0,0,0,0,0,0,0,1,0,0,5,5,1,2,0,0,0,0,0,0
1523129706.550000,120,121,12,12,2,4,1,1,6,6,32,32,2,2,6,4,15,16,0,0,25,23,4,4,1,1,0,0,0,1,0,0,8,9,6,6,0,0,0,0,0,0
1523129706.600000,87,68,19,18,1,1,2,1,6,6,29,22,3,3,2,1,14,8,0,0,2,2,0,0,0,0,0,0,0,0,0,0,8,6,1,0,0,0,0,0,0,0
1523129706.650000,124,115,18,18,0,0,2,3,6,6,41,41,2,2,4,2,37,30,0,0,2,2,0,0,1,1,0,0,0,0,0,0,10,9,1,1,0,0,0,0,0,0
1523129706.700000,116,128,12,12,5,5,3,3,0,0,44,42,7,7,4,3,29,40,0,0,1,1,2,2,4,4,0,0,0,0,1,1,2,5,1,2,1,1,0,0,0,0
1523129706.750000,105,120,8,9,1,1,2,2,5,5,43,53,1,1,2,3,10,11,0,0,16,16,0,0,5,5,0,0,2,2,0,0,5,5,5,7,0,0,0,0,0,0
1523129706.800000,115,118,10,10,1,1,4,4,4,4,55,55,3,3,3,4,12,12,0,0,7,7,0,0,0,1,2,2,4,2,0,0,7,7,3,6,0,0,0,0,0,0
1523129706.850000,104,102,16,15,0,0,2,2,0,0,23,22,4,4,11,8,10,11,0,0,23,23,0,0,0,0,0,0,0,3,3,2,11,10,1,2,0,0,0,0,0,0
1523129706.900000,122,117,12,13,2,2,5,5,6,6,51,49,2,2,2,2,19,16,0,0,8,8,2,2,3,2,1,1,0,0,0,0,7,8,2,1,0,0,0,0,0,0
1523129706.950000,141,139,12,12,3,3,3,3,0,0,56,57,1,1,16,10,23,26,0,0,19,20,0,0,0,0,1,1,0,0,0,0,5,5,2,1,0,0,0,0,0,0
1523129707.000000,122,110,13,10,1,0,5,5,5,4,40,37,2,2,0,2,29,24,0,0,17,17,2,2,1,1,0,0,0,0,0,0,6,5,1,1,0,0,0,0,0,0
1523129707.050000,110,124,14,17,3,4,2,2,7,8,45,50,1,1,2,2,17,21,0,0,10,9,2,2,2,2,0,0,0,0,0,0,3,4,2,2,0,0,0,0,0,0
1523129707.100000,108,114,11,11,0,0,2,2,4,4,34,33,0,0,2,6,25,25,0,0,9,9,0,0,3,4,1,1,0,0,0,0,15,15,2,4,0,0,0,0,0,0
