date_time,total_http_start,total_http_end,StoriesOfTheDay_http_start,StoriesOfTheDay_http_end,BrowseCategories_http_start,BrowseCategories_http_end,BrowseStoriesByCategory_http_start,BrowseStoriesByCategory_http_end,OlderStories_http_start,OlderStories_http_end,ViewStory_http_start,ViewStory_http_end,SubmitStory_http_start,SubmitStory_http_end,StoreStory_http_start,StoreStory_http_end,ViewComment_http_start,ViewComment_http_end,PostComment_http_start,PostComment_http_end,StoreComment_http_start,StoreComment_http_end,ModerateComment_http_start,ModerateComment_http_end,StoreModeratorLog_http_start,StoreModeratorLog_http_end,ReviewStories_http_start,ReviewStories_http_end,AcceptStory_http_start,AcceptStory_http_end,RejectStory_http_start,RejectStory_http_end,Search_http_start,Search_http_end,RegisterUser_http_start,RegisterUser_http_end,Author_http_start,Author_http_end,jpg_http_start,jpg_http_end,html_http_start,html_http_end
1523131354.500000,71,54,17,16,0,0,3,2,3,3,16,12,1,1,4,0,5,6,7,7,5,0,0,0,1,0,1,1,0,0,0,0,8,5,0,1,0,0,0,0,0,0
1523131354.550000,59,53,9,11,0,0,2,1,3,4,12,11,1,1,4,0,5,4,8,8,4,0,0,0,0,0,2,2,0,0,0,0,9,11,0,0,0,0,0,0,0,0
1523131354.600000,57,57,11,11,3,1,7,6,2,1,13,17,2,2,2,1,5,7,7,6,3,1,0,0,0,1,0,0,0,0,1,0,1,2,0,1,0,0,0,0,0,0
1523131354.650000,57,62,14,15,0,2,5,8,6,6,13,14,2,2,0,1,4,4,2,3,4,0,0,0,0,0,1,1,0,0,0,0,6,6,0,0,0,0,0,0,0,0
1523131354.700000,60,62,22,21,2,2,2,2,2,3,9,10,1,1,1,3,6,7,3,3,4,1,0,0,0,0,0,0,0,0,0,0,7,7,0,1,1,1,0,0,0,0
1523131354.750000,60,47,17,16,3,3,5,4,1,1,13,10,3,2,3,0,2,2,4,3,4,0,0,0,0,1,0,0,0,0,0,0,5,4,0,1,0,0,0,0,0,0
1523131354.800000,46,53,8,11,2,1,1,2,4,3,10,10,0,1,3,2,3,4,7,8,2,4,0,0,0,0,1,0,0,0,0,0,5,6,0,1,0,0,0,0,0,0
1523131354.850000,52,64,22,21,1,2,4,2,1,2,7,8,1,1,0,4,2,2,4,4,3,12,0,0,0,0,2,2,0,0,0,0,4,4,1,0,0,0,0,0,0,0
1523131354.900000,53,65,16,15,1,1,1,3,0,0,13,14,1,1,3,6,6,5,6,5,1,10,0,0,0,0,0,1,0,0,0,1,3,3,2,0,0,0,0,0,0,0
1523131354.950000,60,64,13,14,0,0,6,5,4,2,13,5,3,1,0,1,8,6,4,5,4,22,0,0,0,0,1,1,0,0,0,0,3,2,1,0,0,0,0,0,0,0
1523131355.000000,41,62,8,8,1,1,1,2,3,5,9,19,3,4,3,1,3,5,3,3,3,10,0,0,0,0,0,0,1,0,0,0,3,4,0,0,0,0,0,0,0,0
1523131355.050000,70,73,17,17,2,2,1,1,4,3,14,9,2,3,2,5,3,3,9,9,4,11,0,0,0,0,0,0,1,1,1,0,10,9,0,0,0,0,0,0,0,0
1523131355.100000,69,56,12,12,1,1,1,1,4,5,19,13,4,3,3,0,4,4,7,7,3,0,0,0,1,0,0,0,1,1,0,0,9,8,0,1,0,0,0,0,0,0
1523131355.150000,84,54,14,8,2,0,0,0,5,2,17,16,6,5,3,0,11,7,5,4,5,1,1,1,0,0,1,1,0,0,0,0,12,8,1,0,1,1,0,0,0,0
1523131355.200000,80,50,18,17,1,3,5,4,1,2,22,6,2,2,2,1,2,1,2,3,6,0,0,0,0,0,0,0,0,0,1,1,13,10,5,0,0,0,0,0,0,0
1523131355.250000,61,61,16,16,0,0,0,1,1,2,12,22,2,3,3,1,8,3,2,2,8,0,2,1,0,0,0,0,0,0,0,0,6,9,0,0,1,1,0,0,0,0
1523131355.300000,43,67,13,16,3,3,1,1,3,4,8,17,1,1,2,1,4,13,0,0,6,1,0,1,0,0,0,0,0,0,0,0,2,7,0,2,0,0,0,0,0,0
1523131355.350000,67,68,20,23,2,2,4,4,3,3,12,17,2,3,2,0,3,4,4,4,6,0,0,0,0,0,0,0,0,0,0,0,8,8,1,0,0,0,0,0,0,0
1523131355.400000,64,59,18,18,0,0,2,1,3,3,15,16,3,3,1,0,5,6,3,2,5,1,0,0,1,1,2,2,0,0,0,0,4,5,1,1,1,0,0,0,0,0
1523131355.450000,52,56,13,15,0,0,1,2,1,1,14,16,3,2,2,3,0,0,9,9,2,2,1,1,1,0,0,0,0,0,0,0,5,4,0,0,0,1,0,0,0,0
1523131355.500000,53,54,13,11,1,1,3,2,4,2,11,9,1,2,2,5,6,2,4,5,3,9,0,0,0,1,1,0,0,0,0,1,3,3,1,1,0,0,0,0,0,0
1523131355.550000,70,72,31,19,1,1,3,4,3,5,10,9,3,3,1,2,2,6,2,2,4,9,1,1,0,0,3,4,0,0,1,0,4,5,0,1,1,1,0,0,0,0
1523131355.600000,64,59,18,26,0,0,1,1,4,3,13,7,3,3,1,2,5,4,5,4,2,0,0,0,0,0,1,1,0,0,0,0,8,7,3,1,0,0,0,0,0,0
1523131355.650000,46,59,7,10,2,2,0,0,1,2,11,18,8,6,2,4,5,4,0,1,3,3,0,0,0,0,1,1,0,0,0,0,5,5,1,3,0,0,0,0,0,0
1523131355.700000,49,59,15,16,1,1,3,3,1,1,7,8,0,2,1,4,5,5,3,3,6,8,0,0,0,0,0,0,1,0,0,0,5,6,0,1,1,1,0,0,0,0
1523131355.750000,51,58,8,6,1,0,3,3,4,3,16,13,3,3,0,1,4,5,3,3,1,12,0,0,0,0,0,0,0,1,0,0,8,7,0,1,0,0,0,0,0,0
1523131355.800000,51,59,17,18,0,1,2,1,0,1,12,13,2,2,3,2,2,3,2,2,4,8,0,0,0,0,1,1,0,1,0,0,4,5,1,0,1,1,0,0,0,0
1523131355.850000,52,56,9,12,1,0,1,1,3,2,14,13,2,2,3,3,4,3,4,4,4,7,0,0,0,0,1,0,0,0,0,1,5,4,0,3,1,1,0,0,0,0
1523131355.900000,52,64,15,15,0,1,2,3,3,4,8,11,2,2,2,3,2,2,6,6,5,7,0,0,0,0,2,3,0,0,0,0,4,5,1,2,0,0,0,0,0,0
1523131355.950000,59,41,18,16,1,1,1,0,4,2,11,6,1,1,2,1,5,2,3,3,3,3,0,0,1,0,1,1,0,0,0,0,7,5,1,0,0,0,0,0,0,0
1523131356.000000,66,58,13,13,2,2,0,1,2,3,16,13,2,1,3,0,5,5,6,6,6,3,1,1,0,0,1,1,1,0,0,0,7,9,1,0,0,0,0,0,0,0
1523131356.050000,41,49,6,5,0,0,5,5,3,3,9,18,0,1,2,0,2,6,3,3,2,1,1,1,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0
1523131356.100000,41,44,9,11,0,0,0,0,5,5,8,4,1,1,1,4,5,0,2,2,3,8,0,0,0,1,1,1,0,0,0,0,4,5,1,1,1,1,0,0,0,0
1523131356.150000,70,58,19,17,0,0,4,2,5,5,13,8,3,3,2,0,2,6,2,2,6,1,0,0,0,0,1,1,0,0,0,0,11,12,1,0,1,1,0,0,0,0
1523131356.200000,55,65,16,16,0,0,0,2,1,2,14,18,1,1,1,4,4,5,6,6,3,7,1,1,0,0,0,0,0,0,1,0,5,3,2,0,0,0,0,0,0,0
1523131356.250000,60,60,12,14,3,2,3,2,4,4,18,18,1,0,0,2,4,2,4,4,3,5,1,1,0,0,0,0,1,0,1,0,4,4,1,2,0,0,0,0,0,0
1523131356.300000,65,60,15,14,0,1,2,3,2,2,12,12,2,3,4,1,6,6,4,4,8,3,0,0,0,0,1,1,0,1,0,0,7,8,1,1,1,0,0,0,0,0
1523131356.350000,66,54,18,19,5,5,5,4,3,2,9,6,1,1,2,1,7,3,6,6,2,0,1,1,0,1,2,1,0,0,0,0,5,3,0,0,0,1,0,0,0,0
1523131356.400000,83,37,21,13,4,3,4,3,3,1,20,3,2,1,2,0,8,2,6,6,4,1,1,0,1,0,2,2,0,0,0,0,5,2,0,0,0,0,0,0,0,0
1523131356.450000,65,48,11,14,2,1,0,2,2,3,19,5,2,3,1,0,5,5,4,4,5,1,1,1,1,0,0,1,0,0,0,0,8,8,4,0,0,0,0,0,0,0
1523131356.500000,76,51,15,9,1,2,3,2,5,1,19,12,4,1,2,0,7,9,5,4,3,0,0,1,0,0,1,1,0,0,0,0,9,9,2,0,0,0,0,0,0,0
1523131356.550000,108,19,25,0,3,1,5,0,6,1,21,0,4,0,1,0,11,1,6,7,9,0,0,0,0,0,0,0,0,0,0,0,15,9,2,0,0,0,0,0,0,0
1523131356.600000,22,29,4,8,0,2,1,2,0,2,7,3,1,2,0,0,1,1,1,0,0,2,0,0,2,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0
1523131356.650000,50,84,15,26,1,1,3,5,2,4,10,24,1,5,3,2,4,5,2,3,2,0,0,0,0,0,0,0,0,0,0,0,5,9,2,0,0,0,0,0,0,0
1523131356.700000,46,60,11,27,0,1,3,5,5,9,12,3,1,3,2,0,4,3,0,0,2,1,0,0,0,0,1,1,0,0,0,0,2,7,3,0,0,0,0,0,0,0
1523131356.750000,69,42,14,8,3,0,3,1,7,1,11,18,2,0,1,1,6,4,2,1,3,0,0,0,0,0,0,0,0,0,0,0,14,8,2,0,1,0,0,0,0,0
1523131356.800000,67,56,7,6,1,2,4,1,6,4,15,17,3,4,2,0,7,6,5,6,4,0,0,0,0,1,0,0,0,0,0,0,11,8,0,0,2,1,0,0,0,0
1523131356.850000,47,60,13,10,1,2,1,4,0,6,11,17,1,1,0,0,4,6,2,2,5,0,0,0,0,0,1,1,1,0,0,0,7,9,0,0,0,2,0,0,0,0
1523131356.900000,54,55,17,17,1,1,1,2,5,4,8,11,3,3,1,0,4,6,3,3,2,0,0,0,0,0,1,1,0,0,0,0,5,6,2,0,1,1,0,0,0,0
1523131356.950000,53,68,22,24,1,2,0,1,3,7,11,12,1,2,2,0,3,7,3,3,1,1,0,0,0,0,1,1,0,0,0,0,5,8,0,0,0,0,0,0,0,0
1523131357.000000,48,62,15,24,0,0,3,3,1,3,13,16,0,0,2,0,3,6,5,5,2,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1,1,0,0,0,0
1523131357.050000,60,51,13,12,1,1,3,2,6,3,11,12,2,2,2,0,2,5,7,6,6,1,1,0,0,0,0,0,1,0,0,0,4,7,1,0,0,0,0,0,0,0
1523131357.100000,51,56,12,15,1,1,2,3,4,5,9,17,1,1,2,0,6,4,6,6,2,0,0,1,0,1,0,0,0,0,0,0,2,1,2,0,2,1,0,0,0,0
1523131357.150000,61,58,21,15,2,2,2,2,2,4,13,15,1,0,1,0,4,5,3,4,4,1,0,0,0,0,0,0,0,0,0,0,8,9,0,0,0,1,0,0,0,0
