timestamp,pit
1523128808150,22720.95
1523128808200,18969.143
1523128808250,11646.857
1523128808300,20882.666
1523128808350,19918.4
1523128808400,57805.13
1523128808450,168101.7
1523128808500,85101.1
1523128808550,129821.19
1523128808600,41982.652
1523128808650,40877.39
1523128808700,76580.17
1523128808750,121313.89
1523128808800,84635.33
1523128808850,85200.91
1523128808900,174175.44
1523128808950,118976.875
1523128809000,10098.625
1523128809200,36053.223
1523128809250,85426.14
1523128809300,86717.75
1523128809350,47494.344
1523128809400,52857.066
1523128809450,73988.18
1523128809500,158236.11
1523128809550,55552.277
1523128809600,53123.95
1523128809650,68064.14
1523128809700,63724.676
1523128809750,62256.387
1523128809800,40610.363
1523128809850,101516.984
1523128809900,107104.22
1523128809950,70049.72
1523128810000,47459.555
1523128810050,114752.01
1523128810100,63143.26
1523128810150,57472.59
1523128810200,78435.06
1523128810250,84851.59
1523128810300,115494.84
1523128810350,84244.0
1523128810550,66687.0
1523128810600,66577.695
1523128810650,38808.97
1523128810700,85657.234
1523128810750,52461.273
1523128810800,32965.64
1523128810850,84835.63
1523128810900,66650.625
1523128810950,78729.08
1523128811000,63909.5
1523128811050,42889.41
1523128811100,58871.52
1523128811150,60452.855
1523128811200,43086.94
1523128811250,84521.91
1523128811300,103828.71
1523128811350,43047.023
1523128811400,61926.375
1523128811450,5626.0
1523128811600,16028.0
1523128811650,38709.0
1523128811700,44208.855
1523128811750,26720.6
1523128811800,15574.182
1523128811850,25647.979
1523128811900,39423.4
1523128811950,105002.2
1523128812000,37162.42
1523128812050,47122.258
1523128812100,33541.445
1523128812150,26215.438
1523128812200,57547.67
1523128812250,40105.695
1523128812350,62017.25
1523128812400,16183.19
1523128812450,48735.9
1523128812500,3728.5
1523128812550,35281.0
1523128812600,12602.115
1523128812650,27527.691
1523128812750,20398.0
1523128812850,10247.0
1523128812900,3690.0
1523128813000,171061.0
1523128813150,72398.0
1523128813200,6135.0
1523128813350,19056.0
1523128813400,43397.332
1523128813450,26961.0
1523128813500,16569.0
1523128813650,8395.0
1523128813850,8258.0
1523128813950,16088.0
1523128814000,7506.0
1523128814050,32553.666
1523128814100,36179.0
1523128814150,33086.0
1523128814250,10870.0
1523128814300,5840.6665
1523128814350,5256.0
1523128814450,9059.5
1523128814500,80456.0
1523128814550,17421.666
1523128814600,24168.0
1523128814650,27532.334
1523128814700,8890.0
1523128814800,10319.667
1523128814850,20686.0
1523128814950,12811.25
1523128815000,7456.0
1523128815050,3121.0
1523128815100,68132.5
1523128815150,66007.0
1523128815200,75296.0
1523128815250,28114.0
1523128815300,7088.0
1523128815350,446.0
1523128815450,7897.0
1523128815500,8071.0
1523128815550,3813.0
1523128815600,19748.334
1523128815650,19508.0
1523128815700,28145.0
1523128815750,6442.0
1523128815800,17851.4
1523128815850,7999.0
1523128815900,686.0
1523128815950,14390.0
1523128816000,6593.0
1523128816050,37186.5
1523128816100,9520.0
1523128816150,14296.5
1523128816200,6298.0
1523128816300,43094.0
1523128816400,36749.5
1523128816450,15834.0
1523128816500,14967.0
1523128816550,53653.25
1523128816600,24381.143
1523128816650,23068.0
1523128816700,27957.059
1523128816750,30105.0
1523128816800,32367.0
1523128816900,37041.5
1523128816950,66708.0
1523128817000,8871.0
1523128817050,4036.5
1523128817100,40343.6
1523128817150,44497.5
1523128817200,9423.0
1523128817250,27194.0
1523128817300,107174.75
1523128817350,30281.0
1523128817400,8601.0
1523128817450,25207.75
1523128817500,12960.75
1523128817550,55925.668
1523128817600,22766.5
1523128817650,16189.0
1523128817700,29381.75
1523128817750,19401.666
1523128817800,43800.0
1523128817850,57282.75
1523128817900,13569.0
1523128817950,34296.0
1523128818000,39655.332
1523128818050,35478.0
1523128818100,66481.5
1523128818150,19800.0
1523128818200,30334.5
1523128818250,32146.5
1523128818300,17088.5
1523128818350,2187.0
1523128818450,50911.668
1523128818500,4148.0
1523128818550,30734.75
1523128818600,32320.334
1523128818650,65388.0
1523128818700,28074.6
1523128818850,224449.0
1523128818900,15941.0
1523128818950,3513.0
1523128819000,3831.0
1523128819100,4831.0
1523128819150,10127.111
1523128819250,24841.5
1523128819300,15037.0
1523128819350,3117.5
1523128819400,6450.6
1523128819450,3483.0
1523128819500,12608.5
1523128819550,36702.5
1523128819600,27868.5
1523128819650,15355.4
1523128819700,26738.0
1523128819750,2821.0
1523128819800,10376.6
1523128819850,7920.6665
1523128819900,29419.0
1523128819950,17255.0
1523128820000,59937.2
1523128820050,15761.0
1523128820100,8147.0
1523128820150,9505.5
1523128820200,4992.4
1523128820250,22079.25
1523128820300,87332.0
1523128820350,7056.25
1523128820400,12246.333
1523128820450,6630.75
