date_time,total_http,StoriesOfTheDay_http,BrowseCategories_http,BrowseStoriesByCategory_http,OlderStories_http,ViewStory_http,SubmitStory_http,StoreStory_http,ViewComment_http,PostComment_http,StoreComment_http,ModerateComment_http,StoreModeratorLog_http,ReviewStories_http,AcceptStory_http,RejectStory_http,Search_http,RegisterUser_http,Author_http,jpg_http,html_http,total_http_out_rs,StoriesOfTheDay_http_out_rs,BrowseCategories_http_out_rs,BrowseStoriesByCategory_http_out_rs,OlderStories_http_out_rs,ViewStory_http_out_rs,SubmitStory_http_out_rs,StoreStory_http_out_rs,ViewComment_http_out_rs,PostComment_http_out_rs,StoreComment_http_out_rs,ModerateComment_http_out_rs,StoreModeratorLog_http_out_rs,ReviewStories_http_out_rs,AcceptStory_http_out_rs,RejectStory_http_out_rs,Search_http_out_rs,RegisterUser_http_out_rs,Author_http_out_rs,jpg_http_out_rs,html_http_out_rs
1523133172.600000,0.011608,0.007647,0.000000,0.007000,0.000000,0.026091,0.008000,0.000000,0.019500,0.004200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005333,0.000000,0.000000,0.000000,0.000000,0.091612,0.010957,0.037000,0.007000,0.046000,0.034167,0.008000,0.492667,0.043250,0.004556,0.782500,0.000000,0.762000,0.000000,0.000000,0.000000,0.008000,0.541000,0.000000,0.000000,0.000000
1523133172.650000,0.355258,0.008071,0.011000,0.011000,0.006000,0.028125,0.000000,1.613333,0.032111,0.003833,2.799500,0.000000,0.000000,0.000000,0.000000,0.000000,0.005500,1.616000,0.000000,0.000000,0.000000,0.042224,0.008800,0.011000,0.011000,0.006000,0.022200,0.000000,0.392000,0.042571,0.003429,0.775000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004800,0.415000,0.000000,0.000000,0.000000
1523133172.700000,0.290897,0.011842,0.007000,0.014333,0.022000,0.039125,0.007750,1.574000,0.026800,0.001833,2.774667,0.008000,0.000000,0.000000,0.000000,0.000000,0.012400,1.597000,0.000000,0.000000,0.000000,0.026268,0.006357,0.007000,0.015000,0.007000,0.023000,0.007750,0.414500,0.022833,0.001833,0.000000,0.008000,0.000000,0.000000,0.000000,0.000000,0.008625,0.000000,0.000000,0.000000,0.000000
1523133172.750000,0.264120,0.015406,0.006500,0.012667,0.030000,0.039222,0.016750,1.576500,0.031500,0.006750,2.765600,0.000000,0.000000,0.000000,0.000000,0.000000,0.004600,1.568000,0.000000,0.000000,0.000000,0.026672,0.015038,0.006500,0.012667,0.022250,0.033273,0.014333,0.000000,0.049250,0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011143,0.489000,0.000000,0.000000,0.000000
1523133172.800000,0.101098,0.013100,0.000000,0.012000,0.011500,0.062944,0.006000,0.000000,0.081600,0.001000,2.712000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004500,1.554000,0.000000,0.000000,0.000000,0.034983,0.013960,0.000000,0.010000,0.030250,0.035700,0.009000,0.503500,0.031500,0.006750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001500,0.000000,0.000000,0.000000,0.000000
1523133172.850000,0.266134,0.010895,0.010000,0.011000,0.016667,0.055500,0.007500,1.495000,0.063667,0.000875,2.691200,0.000000,0.000000,0.000000,0.000000,0.000000,0.014167,0.000000,0.000000,0.000000,0.000000,0.032824,0.011760,0.010000,0.012500,0.012000,0.048667,0.007000,0.000000,0.047667,0.000875,0.921000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005143,0.000000,0.000000,0.000000,0.000000
1523133172.900000,0.192857,0.013647,0.015333,0.017000,0.016000,0.112091,0.012500,0.000000,0.092300,0.001000,2.676667,0.103000,0.000000,0.000000,0.000000,0.000000,0.026250,1.509000,0.000000,0.000000,0.000000,0.066059,0.014813,0.006000,0.017000,0.018667,0.048417,0.009000,0.584500,0.066333,0.001000,0.988000,0.000000,0.000000,0.000000,0.000000,0.000000,0.017750,0.000000,0.000000,0.000000,0.000000
1523133172.950000,0.218500,0.020111,0.026750,0.014500,0.031000,0.149000,0.008000,1.619000,0.047500,0.003400,2.751667,0.000000,0.000000,0.000000,0.000000,0.000000,0.007500,0.000000,0.000000,0.000000,0.000000,0.053321,0.017500,0.021000,0.011000,0.031000,0.064438,0.015000,0.000000,0.053833,0.003400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003000,0.604500,0.000000,0.000000,0.000000
1523133173.000000,0.311977,0.009889,0.016500,0.009000,0.011000,0.078900,0.005000,1.614000,0.104000,0.005000,2.674500,0.000000,0.000000,0.007000,0.000000,0.000000,0.022667,0.000000,0.004000,0.000000,0.000000,0.070903,0.018400,0.027750,0.015000,0.011000,0.089562,0.005000,0.000000,0.087167,0.005000,1.064000,0.103000,0.000000,0.007000,0.000000,0.000000,0.024714,0.621000,0.004000,0.000000,0.000000
1523133173.050000,0.132547,0.012583,0.005000,0.010667,0.019200,0.138300,0.022333,1.620500,0.071000,0.004000,2.854000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012200,0.000000,0.000000,0.000000,0.000000,0.013755,0.010087,0.005000,0.010667,0.009000,0.029000,0.005000,0.000000,0.028000,0.004000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012200,0.000000,0.000000,0.000000,0.000000
