date_time,total_http,StoriesOfTheDay_http,BrowseCategories_http,BrowseStoriesByCategory_http,OlderStories_http,ViewStory_http,SubmitStory_http,StoreStory_http,ViewComment_http,PostComment_http,StoreComment_http,ModerateComment_http,StoreModeratorLog_http,ReviewStories_http,AcceptStory_http,RejectStory_http,Search_http,RegisterUser_http,Author_http,jpg_http,html_http,total_http_out_rs,StoriesOfTheDay_http_out_rs,BrowseCategories_http_out_rs,BrowseStoriesByCategory_http_out_rs,OlderStories_http_out_rs,ViewStory_http_out_rs,SubmitStory_http_out_rs,StoreStory_http_out_rs,ViewComment_http_out_rs,PostComment_http_out_rs,StoreComment_http_out_rs,ModerateComment_http_out_rs,StoreModeratorLog_http_out_rs,ReviewStories_http_out_rs,AcceptStory_http_out_rs,RejectStory_http_out_rs,Search_http_out_rs,RegisterUser_http_out_rs,Author_http_out_rs,jpg_http_out_rs,html_http_out_rs
1523133172.000000,0.066638,0.008923,0.015000,0.004000,0.010500,0.010333,0.014333,0.238000,0.007500,0.000000,0.332077,0.000000,0.000000,0.008000,0.000000,0.000000,0.005571,0.239667,0.000000,0.000000,0.000000,0.019868,0.009962,0.015000,0.004000,0.010500,0.006727,0.009333,0.002000,0.005429,0.000000,0.130556,0.000000,0.000000,0.008000,0.000000,0.000000,0.005571,0.006000,0.000000,0.000000,0.000000
1523133172.050000,0.034174,0.019636,0.016333,0.000000,0.007250,0.016260,0.023000,0.185333,0.017125,0.000000,0.256167,0.003500,0.012250,0.000000,0.000000,0.000000,0.030000,0.037000,0.000000,0.000000,0.000000,0.018247,0.008727,0.006500,0.000000,0.007900,0.007158,0.017500,0.120500,0.011286,0.000000,0.141400,0.003500,0.005333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1523133172.100000,0.042897,0.007000,0.004000,0.006500,0.000000,0.011349,0.000000,0.504000,0.016188,0.000000,0.501500,0.000000,0.503000,0.000000,0.000000,0.000000,0.005250,0.502000,0.000000,0.000000,0.000000,0.027098,0.019545,0.020000,0.006500,0.000000,0.017917,0.031500,0.025000,0.018000,0.000000,0.214750,0.000000,0.033000,0.000000,0.000000,0.000000,0.015600,0.037000,0.000000,0.000000,0.000000
1523133172.150000,0.009740,0.009077,0.005000,0.000000,0.027000,0.010667,0.005000,0.000000,0.009133,0.000000,0.000000,0.000000,0.000000,0.003000,0.000000,0.000000,0.011000,0.000000,0.000000,0.000000,0.000000,0.024988,0.008375,0.005000,0.000000,0.000000,0.013424,0.005000,0.293000,0.012833,0.000000,0.315333,0.000000,0.000000,0.003000,0.000000,0.000000,0.005667,0.000000,0.000000,0.000000,0.000000
1523133172.200000,0.041692,0.007813,0.000000,0.000000,0.005667,0.015647,0.003000,0.206000,0.019167,0.000000,0.269333,0.000000,0.139333,0.000000,0.000000,0.000000,0.004000,0.000000,0.000000,0.000000,0.000000,0.040625,0.006846,0.000000,0.000000,0.011000,0.013737,0.003000,0.002000,0.016571,0.000000,0.277000,0.000000,0.113667,0.000000,0.000000,0.000000,0.011333,0.000000,0.000000,0.000000,0.000000
1523133172.250000,0.063011,0.006737,0.003000,0.011000,0.002000,0.009600,0.000000,0.202500,0.011154,0.000000,0.218647,0.006250,0.000000,0.000000,0.000000,0.000000,0.008000,0.202500,0.006000,0.000000,0.000000,0.051426,0.008292,0.003000,0.011000,0.002000,0.012458,0.000000,0.003667,0.010273,0.000000,0.217368,0.006250,0.000000,0.000000,0.000000,0.000000,0.008000,0.009000,0.006000,0.000000,0.000000
1523133172.300000,0.065255,0.008875,0.006000,0.005667,0.003250,0.010931,0.000000,0.270750,0.009600,0.000000,0.397429,0.000000,0.000000,0.009000,0.000000,0.000000,0.007000,0.241500,0.005000,0.000000,0.000000,0.039774,0.006316,0.006000,0.005667,0.003250,0.008120,0.000000,0.004250,0.012462,0.000000,0.307778,0.000000,0.000000,0.009000,0.000000,0.000000,0.005500,0.002000,0.005000,0.000000,0.000000
1523133172.350000,0.043713,0.007000,0.023000,0.000000,0.004000,0.012902,0.006000,0.000000,0.011067,0.000000,0.298000,0.006000,0.000000,0.000000,0.302000,0.000000,0.000000,0.293333,0.000000,0.000000,0.000000,0.025153,0.010235,0.000000,0.000000,0.004000,0.011825,0.006000,0.000000,0.010000,0.000000,0.327000,0.006000,0.000000,0.000000,0.003000,0.000000,0.010000,0.005333,0.000000,0.000000,0.000000
1523133172.400000,0.031813,0.006889,0.006000,0.000000,0.000000,0.010714,0.008000,0.000000,0.007565,0.000000,0.397667,0.000000,0.577000,0.005000,0.000000,0.000000,0.009000,0.004000,0.004000,0.000000,0.000000,0.043765,0.005889,0.014500,0.000000,0.000000,0.013813,0.003000,0.000000,0.008217,0.000000,0.371200,0.000000,0.465000,0.005000,0.000000,0.000000,0.008250,0.233000,0.004000,0.000000,0.000000
1523133172.450000,0.176793,0.004643,0.009000,0.004000,0.002500,0.004480,0.000000,0.452800,0.006800,0.000000,0.672125,0.000000,0.000000,0.000000,0.000000,0.000000,0.012000,0.133800,0.000000,0.000000,0.000000,0.077210,0.005600,0.009000,0.004000,0.002500,0.006621,0.013000,0.082833,0.008632,0.000000,0.311647,0.000000,0.000000,0.000000,0.000000,0.000000,0.012000,0.239667,0.000000,0.000000,0.000000
1523133172.500000,0.131244,0.007000,0.000000,0.000000,0.008333,0.008388,0.003000,0.848500,0.013333,0.000000,0.925273,0.000000,0.567000,0.000000,0.000000,0.000000,0.003750,0.010000,0.000000,0.000000,0.000000,0.045065,0.005467,0.000000,0.000000,0.006429,0.005538,0.003000,0.159333,0.007000,0.000000,0.279667,0.000000,0.006500,0.000000,0.000000,0.000000,0.004385,0.162667,0.000000,0.000000,0.000000
1523133172.550000,0.078556,0.007444,0.017000,0.005500,0.015333,0.007979,0.000000,0.834500,0.008095,0.000000,1.106833,0.000000,0.000000,0.000000,0.000000,0.000000,0.007625,0.000000,0.000000,0.000000,0.000000,0.017622,0.008207,0.017000,0.005000,0.015200,0.009882,0.000000,0.003000,0.008750,0.000000,0.257500,0.000000,0.000000,0.000000,0.000000,0.000000,0.007000,0.000000,0.000000,0.000000,0.000000
1523133172.600000,0.120083,0.005444,0.000000,0.000000,0.001500,0.005393,0.006500,0.647200,0.005176,0.000000,0.972600,0.000000,0.538333,0.000000,0.000000,0.000000,0.006333,0.001000,0.000000,0.000000,0.000000,0.059849,0.005167,0.000000,0.006000,0.001500,0.005750,0.006500,0.305000,0.010167,0.000000,0.362000,0.000000,0.230000,0.000000,0.000000,0.000000,0.007000,0.251500,0.000000,0.000000,0.000000
1523133172.650000,0.192591,0.005667,0.008000,0.009000,0.002500,0.005052,0.002000,0.919143,0.007414,0.000000,1.148286,0.000000,0.541667,0.000000,0.000000,0.000000,0.002000,0.538667,0.000000,0.000000,0.000000,0.029775,0.006154,0.008000,0.007333,0.002333,0.005474,0.000000,0.083800,0.005345,0.000000,0.219000,0.000000,0.007500,0.000000,0.000000,0.000000,0.006000,0.134000,0.000000,0.000000,0.000000
1523133172.700000,0.121103,0.009762,0.004000,0.009000,0.008000,0.011163,0.004250,0.786250,0.008333,0.000000,0.789667,0.003500,0.000000,0.000000,0.000000,0.000000,0.009500,0.795500,0.000000,0.000000,0.000000,0.018504,0.006118,0.004000,0.010667,0.007000,0.007689,0.003500,0.139667,0.010312,0.000000,0.143167,0.003500,0.000000,0.000000,0.000000,0.000000,0.008429,0.003000,0.000000,0.000000,0.000000
1523133172.750000,0.148652,0.009714,0.004500,0.009667,0.009250,0.012103,0.010667,0.781500,0.010200,0.000000,1.049444,0.000000,0.000000,0.000000,0.000000,0.000000,0.005750,0.623600,0.000000,0.000000,0.000000,0.023771,0.011031,0.004500,0.008500,0.009222,0.013067,0.009250,0.164667,0.011250,0.000000,0.080333,0.000000,0.000000,0.000000,0.000000,0.000000,0.008000,0.124750,0.000000,0.000000,0.000000
1523133172.800000,0.063983,0.011667,0.000000,0.009000,0.003500,0.013067,0.004800,0.000000,0.014812,0.000000,0.871286,0.000000,0.000000,0.000000,0.000000,0.000000,0.009000,0.000000,0.000000,0.000000,0.000000,0.022500,0.009409,0.000000,0.010667,0.003500,0.010509,0.004800,0.509000,0.007067,0.000000,0.207400,0.000000,0.000000,0.000000,0.000000,0.000000,0.006500,0.000000,0.000000,0.000000,0.000000
1523133172.850000,0.055570,0.006444,0.008000,0.010667,0.006833,0.016400,0.005667,0.505333,0.020111,0.000000,0.434857,0.000000,0.000000,0.000000,0.000000,0.000000,0.032000,0.000000,0.000000,0.000000,0.000000,0.017667,0.009895,0.008000,0.009333,0.004400,0.013638,0.005667,0.004000,0.016353,0.000000,0.197333,0.000000,0.000000,0.000000,0.000000,0.000000,0.008000,0.000000,0.000000,0.000000,0.000000
