date_time,total_http,select_http,SELECT_http,INSERT_http,insert_http,UPDATE_http,update_http,DELETE_http,delete_http,commit;_http,SHOW_http,SET_http,/bin_http,#_http,http_total_longReq,http_adjustLoad
1523133173.750000,20.260023,0.000000,20.160025,0.099998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.260023
1523133173.800000,88.019985,0.000000,87.019985,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.019985
1523133173.850000,85.460001,0.000000,84.460001,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.460001
1523133173.900000,73.980010,0.000000,73.000007,0.260002,0.000000,0.720001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,73.980010
1523133173.950000,80.100008,0.000000,79.100008,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,80.100008
1523133174.000000,79.060012,0.000000,78.080016,0.559998,0.000000,0.419998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,79.060012
1523133174.050000,61.120005,0.000000,60.120005,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,61.120005
1523133174.100000,46.520023,0.000000,45.520023,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,46.520023
1523133174.150000,19.940034,0.000000,18.940034,0.699997,0.000000,0.300003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19.940034
1523133174.200000,4.960002,0.000000,4.020002,0.519991,0.000000,0.420009,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.960002
1523133174.250000,2.479988,0.000000,1.759991,0.439994,0.000000,0.280004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.479988
1523133174.300000,3.920021,0.000000,3.220012,0.640009,0.000000,0.060000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.920021
1523133174.350000,6.740020,0.000000,5.960018,0.740000,0.000000,0.040002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.740020
1523133174.400000,25.559961,0.000000,24.559961,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.559961
1523133174.450000,16.639967,0.000000,15.639967,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16.639967
1523133174.500000,21.579977,0.000000,20.619974,0.960003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.579977
1523133174.550000,17.060037,0.000000,16.080034,0.600001,0.000000,0.340004,0.000000,0.039997,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17.060037
1523133174.600000,11.740005,0.000000,10.780001,0.960004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.740005
1523133174.650000,7.580000,0.000000,6.719981,0.840020,0.000000,0.019999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.580000
1523133174.700000,5.940017,0.000000,5.160016,0.560004,0.000000,0.219996,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.940017
1523133174.750000,8.859957,0.000000,8.079957,0.599999,0.000000,0.180000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.859957
1523133174.800000,16.059989,0.000000,15.119991,0.939998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16.059989
1523133174.850000,11.000029,0.000000,10.260026,0.740003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.000029
1523133174.900000,17.999992,0.000000,17.039987,0.960006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17.999992
1523133174.950000,25.440026,0.000000,24.440026,0.540001,0.000000,0.459999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.440026
1523133175.000000,48.279984,0.000000,47.279984,0.799999,0.000000,0.200001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,48.279984
1523133175.050000,48.440014,0.000000,47.440014,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,48.440014
1523133175.100000,36.660002,0.000000,35.719995,0.940006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,36.660002
