date_time,total_http_start,total_http_end,SELECT_http_start,SELECT_http_end,INSERT_http_start,INSERT_http_end,UPDATE_http_start,UPDATE_http_end,DELETE_http_start,DELETE_http_end
1543208319.000000,0,0,0,0,0,0,0,0,0,0
1543208319.050000,0,0,0,0,0,0,0,0,0,0
1543208319.100000,0,0,0,0,0,0,0,0,0,0
1543208319.150000,0,0,0,0,0,0,0,0,0,0
1543208319.200000,0,0,0,0,0,0,0,0,0,0
1543208319.250000,0,0,0,0,0,0,0,0,0,0
1543208319.300000,0,0,0,0,0,0,0,0,0,0
1543208319.350000,0,0,0,0,0,0,0,0,0,0
1543208319.400000,0,0,0,0,0,0,0,0,0,0
1543208319.450000,0,0,0,0,0,0,0,0,0,0
1543208319.500000,0,0,0,0,0,0,0,0,0,0
1543208319.550000,0,0,0,0,0,0,0,0,0,0
1543208319.600000,0,0,0,0,0,0,0,0,0,0
1543208319.650000,0,0,0,0,0,0,0,0,0,0
1543208319.700000,0,0,0,0,0,0,0,0,0,0
1543208319.750000,0,0,0,0,0,0,0,0,0,0
1543208319.800000,0,0,0,0,0,0,0,0,0,0
1543208319.850000,0,0,0,0,0,0,0,0,0,0
1543208319.900000,0,0,0,0,0,0,0,0,0,0
1543208319.950000,0,0,0,0,0,0,0,0,0,0
1543208320.000000,0,0,0,0,0,0,0,0,0,0
1543208320.050000,0,0,0,0,0,0,0,0,0,0
1543208320.100000,0,0,0,0,0,0,0,0,0,0
1543208320.150000,0,0,0,0,0,0,0,0,0,0
1543208320.200000,0,0,0,0,0,0,0,0,0,0
1543208320.250000,0,0,0,0,0,0,0,0,0,0
1543208320.300000,0,0,0,0,0,0,0,0,0,0
1543208320.350000,0,0,0,0,0,0,0,0,0,0
1543208320.400000,0,0,0,0,0,0,0,0,0,0
1543208320.450000,0,0,0,0,0,0,0,0,0,0
1543208320.500000,0,0,0,0,0,0,0,0,0,0
1543208320.550000,0,0,0,0,0,0,0,0,0,0
1543208320.600000,0,0,0,0,0,0,0,0,0,0
1543208320.650000,0,0,0,0,0,0,0,0,0,0
1543208320.700000,0,0,0,0,0,0,0,0,0,0
1543208320.750000,0,0,0,0,0,0,0,0,0,0
1543208320.800000,0,0,0,0,0,0,0,0,0,0
1543208320.850000,0,0,0,0,0,0,0,0,0,0
1543208320.900000,0,0,0,0,0,0,0,0,0,0
1543208320.950000,0,0,0,0,0,0,0,0,0,0
1543208321.000000,0,0,0,0,0,0,0,0,0,0
1543208321.050000,0,0,0,0,0,0,0,0,0,0
1543208321.100000,0,0,0,0,0,0,0,0,0,0
1543208321.150000,0,0,0,0,0,0,0,0,0,0
1543208321.200000,0,0,0,0,0,0,0,0,0,0
1543208321.250000,0,0,0,0,0,0,0,0,0,0
1543208321.300000,0,0,0,0,0,0,0,0,0,0
1543208321.350000,0,0,0,0,0,0,0,0,0,0
1543208321.400000,0,0,0,0,0,0,0,0,0,0
1543208321.450000,0,0,0,0,0,0,0,0,0,0
1543208321.500000,0,0,0,0,0,0,0,0,0,0
1543208321.550000,0,0,0,0,0,0,0,0,0,0
1543208321.600000,0,0,0,0,0,0,0,0,0,0
1543208321.650000,0,0,0,0,0,0,0,0,0,0
1543208321.700000,0,0,0,0,0,0,0,0,0,0
1543208321.750000,0,0,0,0,0,0,0,0,0,0
1543208321.800000,0,0,0,0,0,0,0,0,0,0
1543208321.850000,0,0,0,0,0,0,0,0,0,0
1543208321.900000,0,0,0,0,0,0,0,0,0,0
1543208321.950000,0,0,0,0,0,0,0,0,0,0
1543208322.000000,0,0,0,0,0,0,0,0,0,0
1543208322.050000,0,0,0,0,0,0,0,0,0,0
1543208322.100000,0,0,0,0,0,0,0,0,0,0
1543208322.150000,0,0,0,0,0,0,0,0,0,0
1543208322.200000,0,0,0,0,0,0,0,0,0,0
1543208322.250000,0,0,0,0,0,0,0,0,0,0
1543208322.300000,0,0,0,0,0,0,0,0,0,0
1543208322.350000,0,0,0,0,0,0,0,0,0,0
1543208322.400000,0,0,0,0,0,0,0,0,0,0
1543208322.450000,0,0,0,0,0,0,0,0,0,0
1543208322.500000,0,0,0,0,0,0,0,0,0,0
1543208322.550000,0,0,0,0,0,0,0,0,0,0
1543208322.600000,0,0,0,0,0,0,0,0,0,0
1543208322.650000,0,0,0,0,0,0,0,0,0,0
1543208322.700000,0,0,0,0,0,0,0,0,0,0
1543208322.750000,0,0,0,0,0,0,0,0,0,0
1543208322.800000,0,0,0,0,0,0,0,0,0,0
1543208322.850000,0,0,0,0,0,0,0,0,0,0
1543208322.900000,0,0,0,0,0,0,0,0,0,0
1543208322.950000,0,0,0,0,0,0,0,0,0,0
1543208323.000000,0,0,0,0,0,0,0,0,0,0
1543208323.050000,0,0,0,0,0,0,0,0,0,0
1543208323.100000,0,0,0,0,0,0,0,0,0,0
1543208323.150000,0,0,0,0,0,0,0,0,0,0
1543208323.200000,0,0,0,0,0,0,0,0,0,0
1543208323.250000,0,0,0,0,0,0,0,0,0,0
1543208323.300000,0,0,0,0,0,0,0,0,0,0
1543208323.350000,0,0,0,0,0,0,0,0,0,0
1543208323.400000,0,0,0,0,0,0,0,0,0,0
1543208323.450000,0,0,0,0,0,0,0,0,0,0
1543208323.500000,0,0,0,0,0,0,0,0,0,0
1543208323.550000,0,0,0,0,0,0,0,0,0,0
